Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35.5591299534,,,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
高效,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/169.png,f,material/171.png,f,f,颖悟,颖悟,self,self,self,2,2,2,material/169.png,,,,,,,,,,,,,,,,,0,0,0,70,,,,,,,,,,,,,,,4,2.65875387192,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
超群,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/27.png,j,material/127.png,j,j,卓越,卓越,friend,friend,friend,2,2,2,material/27.png,,,,,,,,,,,,,,,,,0,1,1,26,,,,,,,,,,,,,,,4,2.55026292801,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
缺德,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/38.png,j,material/138.png,j,j,缺德,无德,friend,friend,friend,1,1,1,material/138.png,,,,,,,,,,,,,,,,,0,2,2,37,,,,,,,,,,,,,,,1,1.29217219353,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
狠毒,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/40.png,j,material/140.png,j,j,狠毒,邪恶,friend,friend,friend,1,1,1,material/140.png,,,,,,,,,,,,,,,,,0,3,3,39,,,,,,,,,,,,,,,2,1.57518911362,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
虚荣,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/43.png,f,material/143.png,f,f,虚荣,拜金,self,self,self,1,1,1,material/143.png,,,,,,,,,,,,,,,,,0,4,4,42,,,,,,,,,,,,,,,None,,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
笨拙,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/60.png,f,material/160.png,f,f,粗拙,粗拙,self,self,self,2,2,2,material/60.png,,,,,,,,,,,,,,,,,0,5,5,59,,,,,,,,,,,,,,,4,2.27537417412,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
顽愚,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/84.png,f,material/84.png,f,f,犹豫,顽愚,self,self,self,2,2,2,material/181.png,,,,,,,,,,,,,,,,,0,6,6,87,,,,,,,,,,,,,,,2,1.79212379456,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
高明,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/69.png,f,material/69.png,f,f,高明,高明,self,self,self,2,2,2,material/69.png,,,,,,,,,,,,,,,,,0,7,7,86,,,,,,,,,,,,,,,4,1.50892496109,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
愚钝,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/56.png,f,material/156.png,f,f,愚昧,愚昧,self,self,self,2,2,2,material/56.png,,,,,,,,,,,,,,,,,0,8,8,55,,,,,,,,,,,,,,,4,1.44198918343,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
仗义,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/63.png,f,material/166.png,f,f,正义,文明,self,self,self,1,1,1,material/66.png,,,,,,,,,,,,,,,,,0,9,9,65,,,,,,,,,,,,,,,5,1.57544517517,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
勇敢,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/165.png,j,material/161.png,j,j,平等,独立,friend,friend,friend,1,1,1,material/61.png,,,,,,,,,,,,,,,,,0,10,10,60,,,,,,,,,,,,,,,5,1.54203701019,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
迟钝,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/53.png,f,material/153.png,f,f,迟缓,迟缓,self,self,self,2,2,2,material/53.png,,,,,,,,,,,,,,,,,0,11,11,52,,,,,,,,,,,,,,,5,1.14999604225,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
忠心,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/12.png,f,material/112.png,f,f,忠心,忠诚,self,self,self,1,1,1,material/112.png,,,,,,,,,,,,,,,,,0,12,12,11,,,,,,,,,,,,,,,4,1.55901193619,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
无情,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/172.png,f,material/175.png,f,f,无情,浮夸,self,self,self,1,1,1,material/175.png,,,,,,,,,,,,,,,,,0,13,13,74,,,,,,,,,,,,,,,3,2.62636613846,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
正直,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/9.png,j,material/109.png,j,j,正直,秉直,friend,friend,friend,1,1,1,material/109.png,,,,,,,,,,,,,,,,,0,14,14,8,,,,,,,,,,,,,,,4,1.65845108032,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
冷静,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/24.png,f,material/124.png,f,f,理智,理智,self,self,self,2,2,2,material/24.png,,,,,,,,,,,,,,,,,0,15,15,23,,,,,,,,,,,,,,,4,1.3089389801,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
