"","ParticipantID","IAT","stimulus","condition","task_id","word","screen_id","rt","RT","response","correct","version_attrib","version_target","version_attrib2","version_target2","ID"
"1",398,NA,"
    <h3>词语分类任务</h3>
    <p>在接下来的任务中，你需要对一系列词语进行分类。<p/>
    请先熟悉这些词语，这有利于你完成接下来的任务。</p>
    <table align=""center"" border=1 cellpadding=3 cellspacing=0>
    <tr> <th>类别</th> <th>词语</th> </tr>
    <tr> <td>&emsp;积极&emsp;</td> <td>&emsp;高尚、诚信、善良、君子、廉正、正直&emsp;</td> </tr>
    <tr> <td>&emsp;消极&emsp;</td> <td>&emsp;缺德、卑鄙、不孝、不仁、小人、黑心&emsp;</td> </tr>
    <tr> <td>&emsp;自我&emsp;</td> <td>&emsp;我、我的、自己、自己的、本人、本人的&emsp;</td> </tr>
    <tr> <td>&emsp;他人&emsp;</td> <td>&emsp;他、他的、别人、别人的、他人、他人的&emsp;</td> </tr>
    </table><br/>","","","","","11279",NA,"0","",NA,NA,1,1,"phase_013_subj_17"
"2",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人的</p>","self","moral","本人的","1","1373",1373,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"3",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","other","moral","别人","1","1033",1033,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"4",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","other","moral","他人","1","980",980,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"5",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","self","moral","自己","1","636",636,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"6",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","1","736",736,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"7",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他的</p>","other","moral","他的","1","641",641,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"8",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人的</p>","other","moral","别人的","1","1477",1477,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"9",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","self","moral","自己的","1","555",555,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"10",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我的</p>","self","moral","我的","1","706",706,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"11",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人的</p>","other","moral","他人的","1","768",768,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"12",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","self","moral","我","1","708",708,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"13",398,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","other","moral","他","1","560",560,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"14",398,12,"<p style=""color:white; font-size: 35px;"">诚信</p>","positive","moral","诚信","2","872",872,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"15",398,12,"<p style=""color:white; font-size: 35px;"">小人</p>","negative","moral","小人","2","666",666,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"16",398,12,"<p style=""color:white; font-size: 35px;"">善良</p>","positive","moral","善良","2","739",739,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"17",398,12,"<p style=""color:white; font-size: 35px;"">不孝</p>","negative","moral","不孝","2","973",973,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"18",398,12,"<p style=""color:white; font-size: 35px;"">君子</p>","positive","moral","君子","2","706",706,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"19",398,12,"<p style=""color:white; font-size: 35px;"">高尚</p>","positive","moral","高尚","2","599",599,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"20",398,12,"<p style=""color:white; font-size: 35px;"">不仁</p>","negative","moral","不仁","2","667",667,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"21",398,12,"<p style=""color:white; font-size: 35px;"">廉正</p>","positive","moral","廉正","2","1063",1063,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"22",398,12,"<p style=""color:white; font-size: 35px;"">正直</p>","positive","moral","正直","2","688",688,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"23",398,12,"<p style=""color:white; font-size: 35px;"">卑鄙</p>","negative","moral","卑鄙","2","615",615,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"24",398,12,"<p style=""color:white; font-size: 35px;"">黑心</p>","negative","moral","黑心","2","1180",1180,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"25",398,12,"<p style=""color:white; font-size: 35px;"">缺德</p>","negative","moral","缺德","2","633",633,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"26",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我的</p>","self","moral","我的","3","667",667,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"27",398,13,"<p style=""color:white; font-size: 35px;"">小人</p>","negative","moral","小人","3","787",787,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"28",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人的</p>","other","moral","他人的","3","1008",1008,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"29",398,13,"<p style=""color:white; font-size: 35px;"">善良</p>","positive","moral","善良","3","1441",1441,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"30",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","other","moral","他人","3","956",956,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"31",398,13,"<p style=""color:white; font-size: 35px;"">诚信</p>","positive","moral","诚信","3","694",694,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"32",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","self","moral","我","3","594",594,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"33",398,13,"<p style=""color:white; font-size: 35px;"">黑心</p>","negative","moral","黑心","3","879",879,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"34",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","other","moral","别人","3","685",685,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"35",398,13,"<p style=""color:white; font-size: 35px;"">不仁</p>","negative","moral","不仁","3","715",715,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"36",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","3","677",677,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"37",398,13,"<p style=""color:white; font-size: 35px;"">廉正</p>","positive","moral","廉正","3","714",714,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"38",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","other","moral","他","3","820",820,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"39",398,13,"<p style=""color:white; font-size: 35px;"">缺德</p>","negative","moral","缺德","3","858",858,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"40",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","self","moral","自己","3","671",671,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"41",398,13,"<p style=""color:white; font-size: 35px;"">君子</p>","positive","moral","君子","3","1746",1746,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
