"","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","correct_answer","trap1_item","ID"
"1",398,4,3,3,4,3,3,4,3,4,4,5,3,3,4,4,4,4,3,4,5,1,2,3,2,2,2,2,2,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,4,2,2,3,3,5,2,3,4,1,3,"张",NA,"","phase_013_subj_17"
"2",145,4,3,3,4,4,3,3,2,4,4,5,2,3,4,2,4,3,3,4,4,1,4,3,3,2,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,2,NA,2,3,4,2,3,"王",NA,"","phase_013_subj_6"
"3",422,3,3,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3,4,4,2,2,2,1,2,2,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,4,2,3,2,2,1,2,3,2,2,1,"张",NA,"","phase_013_subj_19"
"4",330,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,5,1,2,1,2,NA,2,3,1,5,1,"付",NA,"","phase_013_subj_12"
"5",289,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,1,2,1,5,2,2,1,5,1,"唐",NA,"","phase_013_subj_9"
"6",357,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5,1,1,1,2,5,1,1,2,4,2,"刘",NA,"","phase_013_subj_14"
"7",350,3,4,3,3,4,4,3,4,3,4,4,5,4,5,5,4,4,5,5,5,2,1,2,2,1,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,2,2,1,1,2,1,4,5,1,"林",NA,"","phase_013_subj_13"
"8",467,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,2,1,2,5,1,1,1,4,1,"张",NA,"","phase_013_subj_25"
"9",88,4,4,4,4,3,3,3,3,4,4,5,4,4,4,5,4,4,4,5,5,1,2,1,1,2,1,1,5,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,5,2,1,2,4,3,4,1,2,4,2,"温",NA,"","phase_013_subj_2"
"10",522,3,3,3,3,2,2,2,3,2,2,4,1,2,2,3,2,3,2,3,2,3,4,4,2,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,3,1,4,2,3,4,2,2,3,"张",NA,"","phase_013_subj_26"
"11",565,3,3,3,3,2,3,3,1,3,2,4,2,1,2,2,3,3,2,4,4,4,3,4,4,3,4,4,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,4,5,2,4,2,4,3,4,4,4,"张",NA,"","phase_013_subj_28"
"12",415,4,3,4,4,3,4,3,4,3,4,4,4,1,4,5,5,4,5,4,4,2,1,1,2,2,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,5,1,2,1,3,5,4,5,3,"潘",NA,"","phase_013_subj_18"
"13",660,4,4,3,4,4,4,4,3,4,4,5,4,4,4,4,5,4,4,5,5,2,1,2,2,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,5,2,2,1,2,3,1,2,2,"杨",NA,"","phase_013_subj_31"
"14",132,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,4,5,4,1,2,1,1,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,4,2,3,1,2,4,2,2,1,"韩",NA,"","phase_013_subj_5"
"15",453,3,3,4,3,3,3,3,2,4,3,4,4,2,4,4,4,4,4,4,4,2,4,2,2,2,2,1,2,2,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,4,2,5,1,2,3,2,4,4,4,2,"崔",NA,"","phase_013_subj_24"
"16",696,4,4,4,3,4,3,3,4,4,3,4,2,1,5,2,4,3,2,4,5,2,2,1,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,2,5,NA,3,4,4,3,2,"吴",NA,"","phase_013_subj_33"
