"X","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","ID","trap1","correct_answer","trap1_item"
9,312,4,3,4,3,3,4,3,4,4,3,5,4,4,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,2,2,1,2,2,"郭","phase_006_subj_7",NA,NA,NA
10,604,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,4,4,4,3,3,4,4,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,3,4,4,3,3,4,2,2,"li","phase_006_subj_24",NA,NA,NA
11,536,4,3,4,4,4,3,3,4,4,4,4,5,5,5,4,4,5,5,4,5,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,2,1,1,1,2,2,2,1,"胡","phase_006_subj_22",NA,NA,NA
12,349,3,3,4,3,2,3,3,3,4,4,4,2,2,3,2,4,2,3,4,4,4,4,3,2,2,2,4,3,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3,4,4,2,4,4,4,4,5,4,"陈","phase_006_subj_10",NA,NA,NA
13,14,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,3,2,3,4,4,3,4,4,4,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,4,4,5,4,4,3,2,5,"刘","phase_006_subj_1",NA,NA,NA
14,448,3,2,3,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,4,2,2,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,2,3,4,2,4,2,"赵","phase_006_subj_19",NA,NA,NA
15,446,3,3,4,3,4,4,4,4,4,4,5,4,5,4,4,4,4,3,4,5,1,1,2,1,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,1,2,3,3,1,2,1,"练","phase_006_subj_17",NA,NA,NA
17,319,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,4,4,4,5,2,3,2,1,2,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,4,5,4,1,4,5,4,4,1,1,"周","phase_006_subj_8",NA,NA,NA
18,272,3,3,3,3,3,3,4,3,3,3,4,3,2,4,3,4,3,2,4,4,3,4,4,3,3,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2,2,3,2,2,2,3,"祁","phase_006_subj_5",NA,NA,NA
19,609,3,4,3,3,4,4,4,3,3,4,4,4,4,4,5,5,4,4,4,5,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,4,2,1,1,2,1,3,3,4,2,"田","phase_006_subj_25",NA,NA,NA
20,496,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,5,3,4,4,3,4,4,2,4,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,3,4,2,4,3,4,4,4,2,"刘","phase_006_subj_21",NA,NA,NA
21,112,4,3,4,3,3,4,3,4,3,3,5,4,4,4,5,4,4,4,5,5,2,4,3,2,2,2,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,4,1,2,3,4,4,2,1,"吴","phase_006_subj_4",NA,NA,NA
22,320,3,3,3,3,2,3,2,3,3,3,3,3,2,3,2,2,3,2,3,3,2,2,3,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,3,3,2,3,3,2,"封","phase_006_subj_9",NA,NA,NA
24,595,3,3,4,3,3,3,3,4,4,4,4,4,5,4,4,4,5,4,4,4,2,2,3,3,4,4,2,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,4,1,2,1,1,1,4,2,5,1,"罗","phase_006_subj_23",NA,NA,NA
25,90,4,3,4,4,4,3,3,4,4,4,5,5,5,4,5,4,5,5,4,5,2,2,2,2,1,2,2,4,2,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,5,1,4,1,1,1,2,4,5,2,"WQ","phase_006_subj_2",NA,NA,NA
