"","subj_idx","hsns","score"
"1",558365014109454336,"1",2
"2",558365014109454336,"2",5
"3",558365014109454336,"3",5
"4",558365014109454336,"4",1
"5",558365014109454336,"5",3
"6",558365014109454336,"6",2
"7",558365014109454336,"7",4
"8",558365014109454336,"8",4
"9",558365014109454336,"9",3
"10",558365014109454336,"10",2
"11",568408786771902464,"1",4
"12",568408786771902464,"2",2
"13",568408786771902464,"3",2
"14",568408786771902464,"4",1
"15",568408786771902464,"5",4
"16",568408786771902464,"6",2
"17",568408786771902464,"7",3
"18",568408786771902464,"8",4
"19",568408786771902464,"9",4
"20",568408786771902464,"10",2
"21",613040465838604288,"1",4
"22",613040465838604288,"2",2
"23",613040465838604288,"3",4
"24",613040465838604288,"4",1
"25",613040465838604288,"5",3
"26",613040465838604288,"6",2
"27",613040465838604288,"7",3
"28",613040465838604288,"8",3
"29",613040465838604288,"9",4
"30",613040465838604288,"10",4
"31",628584680945352704,"1",5
"32",628584680945352704,"2",1
"33",628584680945352704,"3",2
"34",628584680945352704,"4",2
"35",628584680945352704,"5",1
"36",628584680945352704,"6",2
"37",628584680945352704,"7",4
"38",628584680945352704,"8",2
"39",628584680945352704,"9",3
"40",628584680945352704,"10",2
"41",656853379439394816,"1",5
"42",656853379439394816,"2",1
"43",656853379439394816,"3",3
"44",656853379439394816,"4",1
"45",656853379439394816,"5",1
"46",656853379439394816,"6",5
"47",656853379439394816,"7",4
"48",656853379439394816,"8",3
"49",656853379439394816,"9",4
"50",656853379439394816,"10",2
"51",682910925522468864,"1",4
"52",682910925522468864,"2",3
"53",682910925522468864,"3",2
"54",682910925522468864,"4",4
"55",682910925522468864,"5",3
"56",682910925522468864,"6",2
"57",682910925522468864,"7",3
"58",682910925522468864,"8",4
"59",682910925522468864,"9",3
"60",682910925522468864,"10",3
"61",690857936225828864,"1",5
"62",690857936225828864,"2",4
"63",690857936225828864,"3",4
"64",690857936225828864,"4",3
"65",690857936225828864,"5",4
"66",690857936225828864,"6",3
"67",690857936225828864,"7",4
"68",690857936225828864,"8",4
"69",690857936225828864,"9",3
"70",690857936225828864,"10",3
"71",703157170715230208,"1",4
"72",703157170715230208,"2",4
"73",703157170715230208,"3",4
"74",703157170715230208,"4",4
"75",703157170715230208,"5",4
"76",703157170715230208,"6",3
"77",703157170715230208,"7",4
"78",703157170715230208,"8",4
"79",703157170715230208,"9",4
"80",703157170715230208,"10",2
"81",718754642447564800,"1",4
"82",718754642447564800,"2",2
"83",718754642447564800,"3",3
"84",718754642447564800,"4",3
"85",718754642447564800,"5",4
"86",718754642447564800,"6",3
"87",718754642447564800,"7",3
"88",718754642447564800,"8",3
"89",718754642447564800,"9",2
"90",718754642447564800,"10",3
"91",728341831389020160,"1",5
"92",728341831389020160,"2",2
"93",728341831389020160,"3",4
"94",728341831389020160,"4",2
"95",728341831389020160,"5",2
"96",728341831389020160,"6",2
"97",728341831389020160,"7",2
"98",728341831389020160,"8",2
"99",728341831389020160,"9",2
"100",728341831389020160,"10",1
"101",732226150302224384,"1",5
"102",732226150302224384,"2",4
"103",732226150302224384,"3",3
"104",732226150302224384,"4",2
"105",732226150302224384,"5",3
"106",732226150302224384,"6",2
"107",732226150302224384,"7",3
"108",732226150302224384,"8",3
"109",732226150302224384,"9",3
"110",732226150302224384,"10",2
"111",735606541780258816,"1",3
"112",735606541780258816,"2",4
"113",735606541780258816,"3",5
"114",735606541780258816,"4",4
"115",735606541780258816,"5",5
"116",735606541780258816,"6",4
"117",735606541780258816,"7",4
"118",735606541780258816,"8",4
"119",735606541780258816,"9",2
"120",735606541780258816,"10",2
"121",742402460798423040,"1",3
"122",742402460798423040,"2",5
"123",742402460798423040,"3",4
"124",742402460798423040,"4",3
"125",742402460798423040,"5",4
"126",742402460798423040,"6",2
"127",742402460798423040,"7",3
"128",742402460798423040,"8",4
"129",742402460798423040,"9",3
"130",742402460798423040,"10",2
"131",745398419547492352,"1",4
"132",745398419547492352,"2",2
"133",745398419547492352,"3",4
"134",745398419547492352,"4",2
"135",745398419547492352,"5",2
"136",745398419547492352,"6",2
"137",745398419547492352,"7",2
"138",745398419547492352,"8",2
"139",745398419547492352,"9",3
"140",745398419547492352,"10",2
"141",746397539082964992,"1",3
"142",746397539082964992,"2",5
"143",746397539082964992,"3",4
"144",746397539082964992,"4",4
"145",746397539082964992,"5",4
"146",746397539082964992,"6",5
"147",746397539082964992,"7",2
"148",746397539082964992,"8",3
"149",746397539082964992,"9",2
"150",746397539082964992,"10",1
"151",755507503227473920,"1",4
"152",755507503227473920,"2",3
"153",755507503227473920,"3",2
"154",755507503227473920,"4",2
"155",755507503227473920,"5",4
"156",755507503227473920,"6",2
"157",755507503227473920,"7",4
"158",755507503227473920,"8",4
"159",755507503227473920,"9",3
"160",755507503227473920,"10",1
"161",755771736343187456,"1",4
"162",755771736343187456,"2",4
"163",755771736343187456,"3",4
"164",755771736343187456,"4",2
"165",755771736343187456,"5",2
"166",755771736343187456,"6",4
"167",755771736343187456,"7",4
"168",755771736343187456,"8",2
"169",755771736343187456,"9",2
"170",755771736343187456,"10",3
