"","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","ID"
"1",447,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,2,1,4,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,5,1,2,1,1,2,4,5,2,1,"刘","phase_006_subj_18"
"2",436,3,4,3,3,4,4,3,2,4,4,4,4,5,4,4,4,5,4,4,4,2,1,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,2,1,3,2,4,2,"杨","phase_006_subj_15"
"3",479,4,3,4,3,3,4,3,2,4,4,4,4,4,5,5,4,4,4,1,4,4,5,4,4,3,4,4,5,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,4,5,2,4,2,4,5,4,4,"张","phase_006_subj_20"
"4",422,3,4,4,3,3,3,4,2,4,3,4,4,4,4,5,5,4,4,4,5,4,4,4,5,4,4,5,4,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4,2,5,2,4,4,4,5,5,4,"刘","phase_006_subj_13"
"5",425,4,4,4,3,4,4,4,3,3,4,5,5,4,4,5,5,4,5,4,5,1,2,2,1,2,1,4,5,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,4,1,2,4,1,2,4,5,2,"胡","phase_006_subj_14"
"6",440,3,4,4,3,4,4,4,4,3,4,5,5,5,4,5,5,4,5,4,4,2,1,2,1,2,1,2,1,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,4,2,3,2,2,4,2,4,5,1,"吴","phase_006_subj_16"
"7",358,3,4,4,3,4,4,3,3,4,4,5,5,4,4,4,5,5,5,4,4,1,1,2,2,2,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,1,2,2,1,3,5,4,1,2,"张","phase_006_subj_11"
"8",93,4,3,4,3,3,4,4,1,4,3,5,3,4,4,4,5,4,3,4,4,4,4,3,4,3,4,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,3,2,4,3,4,4,4,3,"吴","phase_006_subj_3"
"9",312,4,3,4,3,3,4,3,4,4,3,5,4,4,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,2,2,1,2,2,"郭","phase_006_subj_7"
"10",604,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,4,4,4,3,3,4,4,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,3,4,4,3,3,4,2,2,"li","phase_006_subj_24"
