"","subj_idx","IM","score"
"1",613040465838604288,"1",2
"2",613040465838604288,"2",7
"3",613040465838604288,"3",4
"4",613040465838604288,"4",5
"5",613040465838604288,"5",2
"6",613040465838604288,"6",7
"7",613040465838604288,"7",6
"8",613040465838604288,"8",6
"9",613040465838604288,"9",7
"10",613040465838604288,"10",7
"11",613040465838604288,"11",7
"12",613040465838604288,"12",7
"13",613040465838604288,"13",6
"14",613040465838604288,"14",7
"15",613040465838604288,"15",4
"16",613040465838604288,"16",6
"17",613040465838604288,"17",3
"18",613040465838604288,"18",6
"19",613040465838604288,"19",4
"20",613040465838604288,"20",7
"21",703157170715230208,"1",3
"22",703157170715230208,"2",5
"23",703157170715230208,"3",2
"24",703157170715230208,"4",3
"25",703157170715230208,"5",3
"26",703157170715230208,"6",5
"27",703157170715230208,"7",2
"28",703157170715230208,"8",5
"29",703157170715230208,"9",3
"30",703157170715230208,"10",3
"31",703157170715230208,"11",5
"32",703157170715230208,"12",5
"33",703157170715230208,"13",3
"34",703157170715230208,"14",5
"35",703157170715230208,"15",2
"36",703157170715230208,"16",5
"37",703157170715230208,"17",3
"38",703157170715230208,"18",6
"39",703157170715230208,"19",3
"40",703157170715230208,"20",4
"41",718754642447564800,"1",3
"42",718754642447564800,"2",4
"43",718754642447564800,"3",3
"44",718754642447564800,"4",3
"45",718754642447564800,"5",5
"46",718754642447564800,"6",5
"47",718754642447564800,"7",4
"48",718754642447564800,"8",3
"49",718754642447564800,"9",4
"50",718754642447564800,"10",6
"51",718754642447564800,"11",7
"52",718754642447564800,"12",3
"53",718754642447564800,"13",4
"54",718754642447564800,"14",4
"55",718754642447564800,"15",4
"56",718754642447564800,"16",4
"57",718754642447564800,"17",3
"58",718754642447564800,"18",5
"59",718754642447564800,"19",3
"60",718754642447564800,"20",4
"61",728341831389020160,"1",5
"62",728341831389020160,"2",6
"63",728341831389020160,"3",6
"64",728341831389020160,"4",6
"65",728341831389020160,"5",7
"66",728341831389020160,"6",7
"67",728341831389020160,"7",6
"68",728341831389020160,"8",7
"69",728341831389020160,"9",7
"70",728341831389020160,"10",7
"71",728341831389020160,"11",7
"72",728341831389020160,"12",7
"73",728341831389020160,"13",7
"74",728341831389020160,"14",1
"75",728341831389020160,"15",7
"76",728341831389020160,"16",7
"77",728341831389020160,"17",7
"78",728341831389020160,"18",7
"79",728341831389020160,"19",6
"80",728341831389020160,"20",7
"81",732226150302224384,"1",5
"82",732226150302224384,"2",4
"83",732226150302224384,"3",3
"84",732226150302224384,"4",3
"85",732226150302224384,"5",4
"86",732226150302224384,"6",5
"87",732226150302224384,"7",5
"88",732226150302224384,"8",3
"89",732226150302224384,"9",6
"90",732226150302224384,"10",6
"91",732226150302224384,"11",5
"92",732226150302224384,"12",6
"93",732226150302224384,"13",5
"94",732226150302224384,"14",4
"95",732226150302224384,"15",5
"96",732226150302224384,"16",5
"97",732226150302224384,"17",6
"98",732226150302224384,"18",2
"99",732226150302224384,"19",5
"100",732226150302224384,"20",3
"101",735606541780258816,"1",1
"102",735606541780258816,"2",1
"103",735606541780258816,"3",1
"104",735606541780258816,"4",1
"105",735606541780258816,"5",2
"106",735606541780258816,"6",3
"107",735606541780258816,"7",6
"108",735606541780258816,"8",6
"109",735606541780258816,"9",7
"110",735606541780258816,"10",3
"111",735606541780258816,"11",3
"112",735606541780258816,"12",1
"113",735606541780258816,"13",3
"114",735606541780258816,"14",1
"115",735606541780258816,"15",1
"116",735606541780258816,"16",3
"117",735606541780258816,"17",1
"118",735606541780258816,"18",7
"119",735606541780258816,"19",2
"120",735606541780258816,"20",3
"121",742402460798423040,"1",3
"122",742402460798423040,"2",4
"123",742402460798423040,"3",6
"124",742402460798423040,"4",6
"125",742402460798423040,"5",5
"126",742402460798423040,"6",4
"127",742402460798423040,"7",5
"128",742402460798423040,"8",4
"129",742402460798423040,"9",7
"130",742402460798423040,"10",5
"131",742402460798423040,"11",7
"132",742402460798423040,"12",3
"133",742402460798423040,"13",6
"134",742402460798423040,"14",6
"135",742402460798423040,"15",3
"136",742402460798423040,"16",6
"137",742402460798423040,"17",6
"138",742402460798423040,"18",5
"139",742402460798423040,"19",5
"140",742402460798423040,"20",2
"141",745398419547492352,"1",2
"142",745398419547492352,"2",4
"143",745398419547492352,"3",2
"144",745398419547492352,"4",3
"145",745398419547492352,"5",3
"146",745398419547492352,"6",3
"147",745398419547492352,"7",3
"148",745398419547492352,"8",5
"149",745398419547492352,"9",5
"150",745398419547492352,"10",6
"151",745398419547492352,"11",3
"152",745398419547492352,"12",4
"153",745398419547492352,"13",2
"154",745398419547492352,"14",5
"155",745398419547492352,"15",2
"156",745398419547492352,"16",5
"157",745398419547492352,"17",3
"158",745398419547492352,"18",6
"159",745398419547492352,"19",3
"160",745398419547492352,"20",3
"161",746397539082964992,"1",2
"162",746397539082964992,"2",5
"163",746397539082964992,"3",4
"164",746397539082964992,"4",3
"165",746397539082964992,"5",3
"166",746397539082964992,"6",5
"167",746397539082964992,"7",6
"168",746397539082964992,"8",6
"169",746397539082964992,"9",5
"170",746397539082964992,"10",6
"171",746397539082964992,"11",5
"172",746397539082964992,"12",3
"173",746397539082964992,"13",5
"174",746397539082964992,"14",3
"175",746397539082964992,"15",2
"176",746397539082964992,"16",5
"177",746397539082964992,"17",3
"178",746397539082964992,"18",6
"179",746397539082964992,"19",3
"180",746397539082964992,"20",7
"181",755507503227473920,"1",3
"182",755507503227473920,"2",4
"183",755507503227473920,"3",4
"184",755507503227473920,"4",6
"185",755507503227473920,"5",4
"186",755507503227473920,"6",6
"187",755507503227473920,"7",5
"188",755507503227473920,"8",6
"189",755507503227473920,"9",6
"190",755507503227473920,"10",6
"191",755507503227473920,"11",6
"192",755507503227473920,"12",6
"193",755507503227473920,"13",3
"194",755507503227473920,"14",5
"195",755507503227473920,"15",3
"196",755507503227473920,"16",6
"197",755507503227473920,"17",3
"198",755507503227473920,"18",4
"199",755507503227473920,"19",3
"200",755507503227473920,"20",6
