"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib","version_target","IAT","RT","varname","summary","version_attrib2","version_target2","question_order"
"3241","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","3244","0.0-0.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","3245","0.0-1.0-0.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10577","","{""friend_name"":""杜""}","survey-html-form","2","13825","0.0-1.0-1.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","19953","0.0-2.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46708.40000000596","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""3"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""2""}","survey-template","4","66666","0.0-3.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""3"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[9387.60000000894,12744.5,16035.70000000298,17063.40000000596,19923.40000000596,27006.10000000894,30813.90000000596,33829.60000000894,39881.20000000298,43732.5,45241.10000000894]","[]","[9387.60000000894,12744.5,16035.70000000298,17063.40000000596,19923.40000000596,25792.90000000596,27006.10000000894,30813.90000000596,33829.60000000894,39881.20000000298,42038.60000000894,43732.5,45241.10000000894,46704.60000000894]","0.6","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28433.90000000596","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""3"",""Q04"":""2"",""Q05"":""3"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""3"",""Q10"":""3""}","survey-template","5","95118","0.0-4.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""3"",""Q04"":""2"",""Q05"":""3"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[10306.60000000894,12546.29999999702,14493.40000000596,16215.90000000596,18281.20000000298,19801.60000000894,21073.70000000298,23218.10000000894,26170.10000000894,27493.60000000894]","[]","[10306.60000000894,12546.29999999702,14493.40000000596,16215.90000000596,18281.20000000298,19801.60000000894,21073.70000000298,23218.10000000894,26170.10000000894,27493.60000000894,28429.79999999702]","0.5","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","95394","0.0-5.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"13842","","","instructions","7","109237","0.0-6.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":13841}]","","","","","","","","","","","","","","","","","","","","","","",""
"56181","","","instructions","8","165423","0.0-7.0-0.0-0.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":40979},{""page_index"":1,""viewing_time"":11647},{""page_index"":2,""viewing_time"":3554}]","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","psychophysics","9","167648","0.0-7.0-0.0-1.0-0.0-0.0","2","2","3","2","2","2","2","2","2","2","3","4","3","2","3","2","2","2","3","3","4","5","1","2","3","3","5","5","5","1","0","1","1","0","1","1","1","1","1","-1","0","1","0","1","2","5","5","1","3","2","4","4","3","2","558365014109454336","杜","","","","null","","","","","","","","","","","","","","key","null","16.659999999999965","768","428","j","false","nonmatch","img/trapezoid.png","圆形","梯形","ALT1_1","prac_ALT1_1","","","","","","","","","",""
