Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您是否参加过类似的实验？词汇分类？图形匹配？类似的问卷调查？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,3、距离您上次参加此类测试的时间间隔为：,4、您在进行实验的过程中，实验是否正常进行？,5、您在按键行为实验的全程是否全屏？,6、请您描述一下具体出现的问题，以及发生问题的实验阶段？,7、您在进行实验的过程中，是否受到干扰？,8、请您描述一下具体受到什么干扰，以及干扰发生的时间点？,9、对此实验的建议和意见,10、您认为该实验的目的是什么？,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	686480127940362240,	766203041925042178,	清秋,	2023-10-16 11:49:11,1小时52秒,WEB,直接访问,39.85.17.7,	766065743942127619,问题反馈,是,-999,-999,-999,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,分类次数有点多，眼睛有点受不了，哈哈	,得需要眼疾手快，对人和事认知清晰	,	766065744780988418,测试环境-1,是,是,是,是,是,
2,	590543915338170368,	766212284438810625,	一齐开心,	2023-10-16 09:32:26,1小时18分22秒,WEB,直接访问,42.81.132.188,	766065743942127619,问题反馈,否,-999,-999,-999,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,目的是研究对自己和别人的态度。	,	766065744780988418,测试环境-1,是,是,是,是,是,
3,	595245798992642048,	766262768725921793,	棕咖啡,	2023-10-16 12:53:33,1小时18分52秒,WEB,直接访问,113.119.172.226,	766065743942127619,问题反馈,否,-999,-999,-999,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,实验有点长，其他还好	,反应能力，人际关系	,	766065744780988418,测试环境-1,是,是,是,是,是,
4,	590521239097835520,	766296322755141633,	weiweio,	2023-10-16 15:03:10,1小时15分9秒,WEB,直接访问,124.236.97.162,	766065743942127619,问题反馈,否,-999,-999,-999,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,实验的目的是探索人们对自己的认知。	,	766065744780988418,测试环境-1,是,是,是,是,是,
5,	633791437602816000,	766313961007226881,	YU星,	2023-10-16 16:38:58,1小时40分52秒,WEB,直接访问,219.152.93.71,	766065743942127619,问题反馈,否,-999,-999,-999,-999,A.一切正常,否,-999,A.我没有受到任何干扰,-999,实验前面开始有1，2个图显示不出来，其他没了	,测试人际关系吧	,	766065744780988418,测试环境-1,是,是,是,是,是,
6,	672546881741520896,	766388363682123778,	WOSHIDABENDAN,	2023-10-16 20:41:22,47分36秒,WEB,直接访问,223.10.236.233,	766065743942127619,问题反馈,是,-999,-999,-999,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,没有	,注意力的集中	,	766065744780988418,测试环境-1,是,是,是,是,是,
7,	612329083165999104,	766394958826577922,	NIME,	2023-10-16 21:21:09,1小时1分12秒,WEB,直接访问,222.186.57.63,	766065743942127619,问题反馈,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,	766065744780988418,测试环境-1,是,是,是,是,是,
8,	587598071420944384,	766398156933173250,	rys,	2023-10-16 21:25:02,51分15秒,WEB,直接访问,183.187.112.110,	766065743942127619,问题反馈,否,-999,-999,-999,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,考察某个人的反应能力以及自己对自己的看法	,	766065744780988418,测试环境-1,是,是,是,是,是,
9,	598944297026322432,	766402756939616258,	等你的春天,	2023-10-16 21:43:57,53分,WEB,直接访问,36.98.171.206,	766065743942127619,问题反馈,否,-999,-999,-999,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,无	,	766065744780988418,测试环境-1,是,是,是,是,是,
10,	644508738497019904,	766417835386998785,	吃个小猫,	2023-10-16 22:42:23,51分32秒,WEB,直接访问,39.144.219.58,	766065743942127619,问题反馈,否,-999,-999,-999,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,测试反应力和分辨能力	,	766065744780988418,测试环境-1,是,是,是,是,是,
11,	598888935887732736,	766443745502826498,	向前冲,	2023-10-17 00:23:43,49分53秒,WEB,直接访问,36.98.171.206,	766065743942127619,问题反馈,否,-999,-999,-999,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,无	,	766065744780988418,测试环境-1,是,是,是,是,是,
12,	754335804045922305,	766617412530479106,	用户33645,	2023-10-17 12:08:49,1小时4分54秒,WEB,直接访问,39.187.85.147,	766065743942127619,问题反馈,否,-999,-999,-999,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,闪的有点小快	,测试专注力，自我感知	,	766065744780988418,测试环境-1,是,是,是,是,是,
13,	729263916630413313,	766640322435489793,	027号,	2023-10-17 13:21:47,46分51秒,WEB,直接访问,42.49.109.65,	766065743942127619,问题反馈,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,	766065744780988418,测试环境-1,是,是,是,是,是,
