"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order"
"1652","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","1661","0.0-0.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","1662","0.0-1.0-0.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6942","","{""friend_name"":""陈"",""ParticipantID"":""162""}","survey-html-form","2","8607","0.0-1.0-1.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","10638","0.0-2.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61821.5","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""4"",""Q04"":""3"",""Q05"":""4"",""Q06"":""3"",""Q07"":""3"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","survey-template","4","72473","0.0-3.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""4"",""Q04"":""3"",""Q05"":""4"",""Q06"":""3"",""Q07"":""3"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[6540.5,8604.40000000014,35636.30000000005,37020.200000000186,40803.700000000186,42075.80000000005,43627.60000000009,46499.60000000009,50979.5,61195.5]","[]","[6540.5,8604.40000000014,35636.30000000005,37020.200000000186,40803.700000000186,42075.80000000005,43627.60000000009,45835.80000000005,46499.60000000009,50979.5,59731.60000000009,61195.5,61819.60000000009]","0.5","0.1111111111111111","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23706.5","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""5"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5"",""Q07"":""4"",""Q08"":""5"",""Q09"":""5"",""Q10"":""4""}","survey-template","5","96193","0.0-4.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""5"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5"",""Q07"":""4"",""Q08"":""5"",""Q09"":""5"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[3672.6999999999534,4464.800000000047,6792.800000000047,7864.59999999986,9112.699999999953,11008.899999999907,12360.800000000047,17672.59999999986,21104.699999999953,22961.199999999953]","[]","[2472.6999999999534,3672.6999999999534,4464.800000000047,6792.800000000047,7864.59999999986,9112.699999999953,11008.899999999907,12360.800000000047,17672.59999999986,21104.699999999953,22961.199999999953,23704.800000000047]","0.4","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","96245","0.0-5.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"1199","","","instructions","7","97446","0.0-6.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1199}]","","","","","","","","","","","","","","","","","","","","","","",""
"4910","","","instructions","8","102357","0.0-7.0-1.0-0.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2558},{""page_index"":1,""viewing_time"":1440},{""page_index"":2,""viewing_time"":912}]","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","psychophysics","9","104571","0.0-7.0-1.0-1.0-0.0-0.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","null","","","","","","","","","","","","","","key","null","16.647954545454535","683","380","j","false","nonmatch","img/square.png","椭圆","方形","ALT1_2","prac_ALT1_2","","","","","","","","","",""
"null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","html-keyboard-response","10","105073","0.0-7.0-1.0-1.0-0.0-1.0","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","",""
"405","","f","psychophysics","11","106480","0.0-7.0-1.0-1.0-0.0-0.1","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","match","","","","","","","","","","","","","","key","f","16.6465903614458","683","380","f","true","match","img/triangle.png","三角","三角","ALT1_2","prac_ALT1_2","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","12","106981","0.0-7.0-1.0-1.0-0.0-1.1","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","",""
"769","","j","psychophysics","13","108751","0.0-7.0-1.0-1.0-0.0-0.2","4","3","4","3","4","3","3","4","4","4","5","4","5","4","4","5","4","5","5","4","2","2","2","1","2","2","1","4","2","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","4","1","3","2","3","4","4","2","2","2","672546881741520896","陈","162","","","","nonmatch","","","","","","","","","","","","","","key","j","16.64757547169808","683","380","j","true","nonmatch","img/triangle.png","六边","三角","ALT1_2","prac_ALT1_2","","","","","","","","","",""
