"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order"
"5422","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","5424","0.0-0.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","5424","0.0-1.0-0.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40695","","{""friend_name"":""韦"",""ParticipantID"":""001""}","survey-html-form","2","46120","0.0-1.0-1.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","84590","0.0-2.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26305.100000023842","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""3"",""Q09"":""4"",""Q10"":""4""}","survey-template","4","110898","0.0-3.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""3"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[5464,8648,10168,12927.900000035763,15080.100000023842,16696.100000023842,17919.900000035763,20039.900000035763,21695.900000035763,22607.900000035763]","[]","[5464,8648,10168,12927.900000035763,15080.100000023842,16696.100000023842,17919.900000035763,20039.900000035763,21695.900000035763,22607.900000035763,26304.30000001192]","0.5","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34802.60000002384","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""3"",""Q04"":""3"",""Q05"":""2"",""Q06"":""3"",""Q07"":""1"",""Q08"":""2"",""Q09"":""4"",""Q10"":""3""}","survey-template","5","145705","0.0-4.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""3"",""Q04"":""3"",""Q05"":""2"",""Q06"":""3"",""Q07"":""1"",""Q08"":""2"",""Q09"":""4"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q02"",""Q01"",""Q03"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[5553.300000011921,6322.300000011921,8945.5,11793.699999988079,13985.800000011921,16114.100000023842,20097.69999998808,22105.69999998808,24025.80000001192,30265.69999998808,31177.69999998808]","[]","[4529.5,5553.300000011921,6322.300000011921,8945.5,11290.600000023842,11793.699999988079,13985.800000011921,16114.100000023842,20097.69999998808,22105.69999998808,24025.80000001192,29113.600000023842,30265.69999998808,31177.69999998808,34801.60000002384]","0.5","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","146482","0.0-5.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"23342","","","instructions","7","169824","0.0-6.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":23341}]","","","","","","","","","","","","","","","","","","","","","","",""
"40547","","","instructions","8","210372","0.0-7.0-1.0-0.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":25086},{""page_index"":1,""viewing_time"":12525},{""page_index"":2,""viewing_time"":2935}]","","","","","","","","","","","","","","","","","","","","","","",""
"1187","","f","psychophysics","9","212562","0.0-7.0-1.0-1.0-0.0-0.0","3","3","3","3","3","3","3","3","4","4","3","2","3","3","2","3","1","2","4","3","4","5","3","4","4","4","3","4","3","1","0","1","1","0","1","1","1","1","1","1","0","1","0","1","5","5","4","2","4","2","3","1","4","4","644508738497019904","韦","001","","","","nonmatch","","","","","","","","","","","","","","key","f","16.65820000000016","697.8181818181819","388.3636363636364","f","true","nonmatch","img/triangle.png","椭圆","三角","ALT1_2","prac_ALT1_2","","","","","","","","","",""
