"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order"
"2522","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","2524","0.0-0.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","2525","0.0-1.0-0.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8438","","{""friend_name"":""任"",""ParticipantID"":""666""}","survey-html-form","2","10965","0.0-1.0-1.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","32363","0.0-2.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28143","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""4"",""Q08"":""2"",""Q09"":""2"",""Q10"":""3""}","survey-template","4","60508","0.0-3.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""4"",""Q08"":""2"",""Q09"":""2"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[6299,8174,10222,11646,13461,15832,17706,20639,24434,25108.000000000007]","[]","[6299,8174,10222,11646,13461,15832,17706,20639,23405,24434,25108.000000000007,28131]","0.6","0.7777777777777778","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25383.999999999993","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""4"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""4"",""Q10"":""4""}","survey-template","5","85896","0.0-4.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""4"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[4812.999999999993,7130.999999999993,9403.999999999993,10941.999999999993,12837.999999999993,15944.999999999993,18343.999999999993,19963.999999999993,21402.999999999993,24331.999999999993]","[]","[4812.999999999993,7130.999999999993,9403.999999999993,10941.999999999993,12837.999999999993,15944.999999999993,18343.999999999993,19963.999999999993,21402.999999999993,22550.999999999993,24331.999999999993,25376.999999999993]","0.5","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","87194","0.0-5.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"22995","","","instructions","7","110191","0.0-6.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":22994}]","","","","","","","","","","","","","","","","","","","","","","",""
"28146","","","instructions","8","138338","0.0-7.0-1.0-0.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":19212},{""page_index"":1,""viewing_time"":5752},{""page_index"":2,""viewing_time"":3181}]","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","psychophysics","9","140549","0.0-7.0-1.0-1.0-0.0-0.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","null","","","","","","","","","","","","","","key","null","16.575757575757574","840","521","j","false","nonmatch","img/hexagon.png","圆形","六边","ALT1_2","prac_ALT1_2","","","","","","","","","",""
"null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","html-keyboard-response","10","141054","0.0-7.0-1.0-1.0-0.0-1.0","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","",""
"null","","null","psychophysics","11","143260","0.0-7.0-1.0-1.0-0.0-0.1","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","null","","","","","","","","","","","","","","key","null","16.65648854961832","840","521","j","false","nonmatch","img/triangle.png","圆形","三角","ALT1_2","prac_ALT1_2","","","","","","","","","",""
"null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","html-keyboard-response","12","143763","0.0-7.0-1.0-1.0-0.0-1.1","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","",""
"630","","j","psychophysics","13","145406","0.0-7.0-1.0-1.0-0.0-0.2","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","nonmatch","","","","","","","","","","","","","","key","j","16.670103092783506","840","521","j","true","nonmatch","img/trapezoid.png","六边","梯形","ALT1_2","prac_ALT1_2","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","14","145908","0.0-7.0-1.0-1.0-0.0-1.2","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","",""
"435","","f","psychophysics","15","147347","0.0-7.0-1.0-1.0-0.0-0.3","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","match","","","","","","","","","","","","","","key","f","16.658823529411766","840","521","j","false","nonmatch","img/hexagon.png","三角","六边","ALT1_2","prac_ALT1_2","","","","","","","","","",""
"null","<span style='color:red; font-size: 70px;'>错误! </span>","null","html-keyboard-response","16","147850","0.0-7.0-1.0-1.0-0.0-1.3","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","",""
"577","","f","psychophysics","17","149431","0.0-7.0-1.0-1.0-0.0-0.4","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","match","","","","","","","","","","","","","","key","f","16.666666666666668","840","521","f","true","match","img/circle.png","圆形","圆形","ALT1_2","prac_ALT1_2","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","18","149935","0.0-7.0-1.0-1.0-0.0-1.4","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","",""
"406","","f","psychophysics","19","151344","0.0-7.0-1.0-1.0-0.0-0.5","3","3","3","3","3","3","4","2","2","3","4","3","2","4","3","4","3","3","4","4","3","3","4","4","3","3","4","4","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","4","5","3","4","3","4","3","2","3","767710612724912129","任","666","","","","match","","","","","","","","","","","","","","key","f","16.674698795180724","840","521","f","true","match","img/circle.png","圆形","圆形","ALT1_2","prac_ALT1_2","","","","","","","","","",""
