"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","version_attrib2","version_target2","correct","IAT","screen_id","task_id","RT","condition","word","varname","summary","version_attrib","version_target","time_stamp","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","identity","Image","question_order"
"6553","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","6556","0.0-0.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","6557","0.0-1.0-0.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20878","","{""friend_name"":""胡"",""ParticipantID"":""425""}","survey-html-form","2","27441","0.0-1.0-1.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","29010","0.0-2.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35080.90000003576","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""3"",""Q09"":""3"",""Q10"":""4""}","survey-template","4","64100","0.0-3.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""3"",""Q09"":""3"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q03"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q05"",""Q08""]","[3009.300000011921,4410.100000023842,5678.100000023842,6852,8508,9965.700000047684,11869.800000011921,12880.700000047684,14209.700000047684,15733.900000035763,17701.80000001192,25545.600000023842,31067.600000023842]","[]","[3009.300000011921,4410.100000023842,5678.100000023842,6852,8508,9965.700000047684,11869.800000011921,12880.700000047684,14209.700000047684,15733.900000035763,17057.700000047684,17701.80000001192,25545.600000023842,31067.600000023842,35079.40000003576]","0.4","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79892.90000003576","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""5"",""Q07"":""4"",""Q08"":""5"",""Q09"":""4"",""Q10"":""5""}","survey-template","5","144000","0.0-4.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""5"",""Q07"":""4"",""Q08"":""5"",""Q09"":""4"",""Q10"":""5""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[3175.800000011921,7845.300000011921,8771.400000035763,10176.900000035763,12319.5,14416.600000023842,16143.5,18273.600000023842,19279.600000023842,21465.400000035763]","[]","[2565.600000023842,3175.800000011921,6881.699999988079,7535.400000035763,7845.300000011921,8771.400000035763,10176.900000035763,12319.5,14416.600000023842,16143.5,17244,18273.600000023842,19279.600000023842,21011.600000023842,21465.400000035763,79891.5]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","144285","0.0-5.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"20624","
    <h3>词语分类任务</h3>
    <p>在接下来的任务中，你需要对一系列词语进行分类。<p/>
    请先熟悉这些词语，这有利于你完成接下来的任务。</p>
    <table align=""center"" border=1 cellpadding=3 cellspacing=0>
    <tr> <th>类别</th> <th>词语</th> </tr>
    <tr> <td>&emsp;积极&emsp;</td> <td>&emsp;高尚、诚信、善良、君子、廉正、正直&emsp;</td> </tr>
    <tr> <td>&emsp;消极&emsp;</td> <td>&emsp;缺德、卑鄙、不孝、不仁、小人、黑心&emsp;</td> </tr>
    <tr> <td>&emsp;自我&emsp;</td> <td>&emsp;我、我的、自己、自己的、本人、本人的&emsp;</td> </tr>
    <tr> <td>&emsp;他人&emsp;</td> <td>&emsp;他、他的、别人、别人的、他人、他人的&emsp;</td> </tr>
    </table><br/>","0","html-button-response","7","164913","0.0-6.0-1.0-0.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","",""
"3135","
    <div class=""tag-bottom""><p>
    —— 任务1：对“自我”词和“他人”词分类 ——<p/>
    不同词语会出现在屏幕中央，类别标签将始终显示在屏幕上方<p/>   
    <span style=""color:#FFD866""><b>请根据上方标签的提示，尽可能正确并且快速地做出按键反应</b></span><p/>
    当按键错误时屏幕中会出现<span style=""color:red""> X </span>，需要按另一个键纠正才能继续<br/><p/>
    请把双手食指分别放在键盘的“E”键和“I”键上<p/>
    按<空格键>开始
    </p></div>"," ","html-keyboard-response","8","168051","0.0-6.0-1.0-1.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","9","168303","0.0-6.0-1.0-2.0-0.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1130","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","i","categorize-html","10","169439","0.0-6.0-1.0-2.0-1.0","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","true","11","1","moral","1130","other","别人","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","11","169691","0.0-6.0-1.0-2.0-0.1","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"452","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","i","categorize-html","12","170146","0.0-6.0-1.0-2.0-1.1","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","true","11","1","moral","452","other","他","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","13","170397","0.0-6.0-1.0-2.0-0.2","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"461","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","e","categorize-html","14","170860","0.0-6.0-1.0-2.0-1.2","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","true","11","1","moral","461","self","自己的","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","15","171112","0.0-6.0-1.0-2.0-0.3","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"545","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","e","categorize-html","16","171660","0.0-6.0-1.0-2.0-1.3","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","true","11","1","moral","545","self","本人","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","17","171911","0.0-6.0-1.0-2.0-0.4","4","4","4","3","4","4","4","3","3","4","5","5","4","4","5","5","4","5","4","5","1","2","2","1","2","1","4","5","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","2","4","1","2","4","1","2","4","5","2","634029991171981312","胡","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
