"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order"
"5669","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","5672","0.0-0.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","5673","0.0-1.0-0.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14439","","{""friend_name"":""田"",""ParticipantID"":""609""}","survey-html-form","2","20113","0.0-1.0-1.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","35096","0.0-2.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23460.30000001192","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""3"",""Q04"":""3"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""3"",""Q09"":""3"",""Q10"":""4""}","survey-template","4","58559","0.0-3.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""3"",""Q04"":""3"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""3"",""Q09"":""3"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[4230.5,5503.199999988079,6714.399999976158,7960.5,9538,13336.399999976158,14448.300000011921,17262.100000023842,18671.100000023842,19863.80000001192]","[]","[4230.5,5503.199999988079,6714.399999976158,7960.5,9538,12910.5,13336.399999976158,14448.300000011921,17262.100000023842,18671.100000023842,19863.80000001192,23458.80000001192]","0.3","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19093.69999998808","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""5"",""Q07"":""4"",""Q08"":""4"",""Q09"":""4"",""Q10"":""5""}","survey-template","5","77657","0.0-4.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""5"",""Q07"":""4"",""Q08"":""4"",""Q09"":""4"",""Q10"":""5""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[2695.7999999523163,4087.5,5198.899999976158,6427.699999988079,8174.699999988079,9830.399999976158,11085.399999976158,13279.099999964237,16766.5,17959.69999998808]","[]","[2695.7999999523163,4087.5,5198.899999976158,6427.699999988079,8174.699999988079,9830.399999976158,11085.399999976158,13279.099999964237,14842.099999964237,16766.5,17959.69999998808,19092.69999998808]","0.4","0.1111111111111111","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","78818","0.0-5.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"12295","","","instructions","7","91114","0.0-6.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12295}]","","","","","","","","","","","","","","","","","","","","","","",""
"29581","","","instructions","8","120696","0.0-7.0-0.0-0.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":23144},{""page_index"":1,""viewing_time"":4262},{""page_index"":2,""viewing_time"":2175}]","","","","","","","","","","","","","","","","","","","","","","",""
"983","","j","psychophysics","9","122683","0.0-7.0-0.0-1.0-0.0-0.0","3","4","3","3","4","4","4","3","3","4","4","4","4","4","5","5","4","4","4","5","2","1","2","2","2","1","1","1","2","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","4","2","1","1","2","1","3","3","4","2","767401496999628801","田","609","","","","match","","","","","","","","","","","","","","key","j","16.665025423728796","834.7826260024076","465.21740094925843","j","true","match","img/diamond.png","菱形","菱形","ALT1_1","prac_ALT1_1","","","","","","","","","",""
