"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order","correct_answer","trap1_item"
"55422","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color: lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","55424","0.0-0.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","55425","0.0-1.0-0.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12966","","{""friend_name"":""张"",""ParticipantID"":""73""}","survey-html-form","2","68392","0.0-1.0-1.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","91363","0.0-2.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24779.799999952316","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""3"",""Q10"":""3""}","survey-template","4","116148","0.0-3.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q06"",""Q05"",""Q07"",""Q08"",""Q09"",""Q10""]","[4094.0999999046326,5467.799999952316,7073.599999904633,8517.400000095367,13133.599999904633,14297,16247,18992.900000095367,22418.200000047684,23491.299999952316]","[]","[4094.0999999046326,5467.799999952316,7073.599999904633,8517.400000095367,11285.5,13133.599999904633,14297,16247,18992.900000095367,22418.200000047684,23491.299999952316,24778.200000047684]","0.5","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31792.200000047684","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""4"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""4"",""Q10"":""4""}","survey-template","5","147946","0.0-4.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""4"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[2018.7000000476837,3827.600000143051,5548.600000143051,7447.400000095367,10058.900000095367,11812.200000047684,15726.100000143051,18223.5,19738.200000047684,23318.60000014305]","[]","[2018.7000000476837,3827.600000143051,5548.600000143051,7447.400000095367,10058.900000095367,11812.200000047684,15726.100000143051,18223.5,19738.200000047684,23318.60000014305,31790.299999952316]","0.5","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","148436","0.0-5.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66990","","","instructions","7","215427","0.0-6.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":66989}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"47547","","","instructions","8","262976","0.0-7.0-1.0-0.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":39174},{""page_index"":1,""viewing_time"":6771},{""page_index"":2,""viewing_time"":1603}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","psychophysics","9","265191","0.0-7.0-1.0-1.0-0.0-0.0","4","4","3","3","3","4","3","3","3","3","4","3","2","4","3","4","3","3","4","4","5","5","4","5","5","4","3","4","5","0","1","0","0","0","1","1","1","1","0","1","0","1","0","1","4","2","3","2","3","3","3","4","5","4","4","777098957192171521","张","73","","","","null","","","","","","","","","","","","","","key","null","11.11240816326534","720.2857142857143","476.2857142857143","j","false","match","img/square.png","方形","方形","ALT1_2","prac_ALT1_2","","","","","","","","","","","",""
