"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order","correct_answer","trap1_item"
"4445","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color: lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","4447","0.0-0.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","4448","0.0-1.0-0.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27671","","{""friend_name"":""张"",""ParticipantID"":""423""}","survey-html-form","2","32118","0.0-1.0-1.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","33403","0.0-2.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20146","","{""Q01"":""2"",""Q02"":""3"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""2""}","survey-template","4","53551","0.0-3.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","{""Q01"":""2"",""Q02"":""3"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[2554.7000000029802,4545.5,6633.29999999702,8385.39999999851,10458.10000000149,11617.5,14897.60000000149,16153.5,17970.39999999851,19017.29999999702]","[]","[2554.7000000029802,4545.5,5810.5,6633.29999999702,8385.39999999851,10458.10000000149,11617.5,12897.70000000298,14897.60000000149,16153.5,17970.39999999851,19017.29999999702,20145.39999999851]","0.6","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24948","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""3"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""3"",""Q10"":""2""}","survey-template","5","78503","0.0-4.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""3"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""3"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[3843.1999999955297,4875.19999999553,6331.19999999553,8211.19999999553,11707.60000000149,15659.19999999553,17611.10000000149,19059.19999999553,22083.19999999553,23171.29999999702,24195.89999999851]","[]","[2883.2999999970198,3843.1999999955297,4875.19999999553,6331.19999999553,8211.19999999553,11707.60000000149,13571.19999999553,15659.19999999553,17611.10000000149,19059.19999999553,21283.19999999553,22083.19999999553,23171.29999999702,24195.89999999851,24947.29999999702]","0.6","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","78996","0.0-5.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75537","","","instructions","7","154534","0.0-6.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":75537}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"19887","","","instructions","8","174421","0.0-7.0-1.0-0.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":16503},{""page_index"":1,""viewing_time"":2416},{""page_index"":2,""viewing_time"":968}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"1072","","f","psychophysics","9","176509","0.0-7.0-1.0-1.0-0.0-0.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","nonmatch","","","","","","","","","","","","","","key","f","16.684266129032157","960","536","j","false","match","img/circle.png","圆形","圆形","ALT1_2","prac_ALT1_2","","","","","","","","","","","",""
"null","<span style='color:red; font-size: 70px;'>错误! </span>","null","html-keyboard-response","10","177019","0.0-7.0-1.0-1.0-0.0-1.0","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
"815","","j","psychophysics","11","178837","0.0-7.0-1.0-1.0-0.0-0.1","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","match","","","","","","","","","","","","","","key","j","16.684148148148207","960","536","j","true","match","img/circle.png","圆形","圆形","ALT1_2","prac_ALT1_2","","","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","12","179339","0.0-7.0-1.0-1.0-0.0-1.1","2","3","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","4","4","4","4","3","3","4","4","3","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","3","4","4","4","5","1","3","4","4","3","1","718768648436580352","张","423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
