"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order","correct_answer","trap1_item"
"3353","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color: lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","3357","0.0-0.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","3358","0.0-1.0-0.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6843","","{""friend_name"":""应"",""ParticipantID"":""15""}","survey-html-form","2","10203","0.0-1.0-1.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","11358","0.0-2.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15788.300000071526","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""4"",""Q10"":""3""}","survey-template","4","27151","0.0-3.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""4"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[2485.399999976158,3305.2000000476837,7103.5,7954.600000023842,9233.399999976158,10475.200000047684,11436.5,12669,14161.200000047684,15022.100000023842]","[]","[2485.399999976158,3305.2000000476837,5838.899999976158,7103.5,7954.600000023842,9233.399999976158,10475.200000047684,11436.5,12669,14161.200000047684,15022.100000023842,15787]","0.3","0.7777777777777778","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18226.5","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5"",""Q07"":""4"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","survey-template","5","45385","0.0-4.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5"",""Q07"":""4"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[2327.4000000953674,4026.2000000476837,5737.900000095367,7707.600000023842,9364.700000047684,10767.5,13473.5,14303.400000095367,15729.800000071526,17266.5]","[]","[2327.4000000953674,4026.2000000476837,5737.900000095367,7707.600000023842,9364.700000047684,10767.5,12129.300000071526,13473.5,14303.400000095367,15729.800000071526,17266.5,18225.100000023842]","0.6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","45419","0.0-5.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8291","","","instructions","7","53711","0.0-6.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8291}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"18731","","","instructions","8","72445","0.0-7.0-1.0-0.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":15305},{""page_index"":1,""viewing_time"":1512},{""page_index"":2,""viewing_time"":1914}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"931","","j","psychophysics","9","74380","0.0-7.0-1.0-1.0-0.0-0.0","3","4","4","3","3","4","3","3","4","3","4","4","4","4","4","5","4","4","4","4","2","2","2","2","2","1","2","2","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","4","2","1","1","2","1","4","4","5","4","2","766374165644316674","应","15","","","","match","","","","","","","","","","","","","","key","j","16.647368421052658","747.8345776424576","416.9343220484498","j","true","match","img/pentagon.png","五边","五边","ALT1_2","prac_ALT1_2","","","","","","","","","","","",""
