"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order","correct_answer","trap1_item"
"6031","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color: lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","6035","0.0-0.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","6038","0.0-1.0-0.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26448","","{""friend_name"":""李"",""ParticipantID"":""235""}","survey-html-form","2","32487","0.0-1.0-1.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","34683","0.0-2.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29445.100000000035","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""3"",""Q09"":""3"",""Q10"":""3""}","survey-template","4","64133","0.0-3.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""3"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[5316.900000000023,7014.5,10114.300000000047,13698.5,15893.300000000047,17931.400000000023,20359.400000000023,22533.400000000023,25885.20000000001,28128.100000000035]","[]","[5316.900000000023,7014.5,8488.700000000012,9249.400000000023,10114.300000000047,12241.700000000012,13698.5,15052.400000000023,15893.300000000047,17186.800000000047,17931.400000000023,19598.5,20359.400000000023,22533.400000000023,23959.20000000001,25885.20000000001,28128.100000000035,29442.600000000035]","0.5","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21090","","{""Q01"":""4"",""Q02"":""2"",""Q03"":""2"",""Q04"":""4"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","survey-template","5","85235","0.0-4.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","","","{""Q01"":""4"",""Q02"":""2"",""Q03"":""2"",""Q04"":""4"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[3801.7999999999884,4827.200000000012,7435,8293,10864.099999999977,12425.900000000023,13959.900000000023,16203.299999999988,17556.900000000023,18998.70000000001]","[]","[3801.7999999999884,4827.200000000012,6341.5,7435,8293,10864.099999999977,12425.900000000023,13959.900000000023,16203.299999999988,17556.900000000023,18998.70000000001,21087.400000000023]","0.6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","85921","0.0-5.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10612","","","instructions","7","96534","0.0-6.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10611}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"13966","","","instructions","8","110504","0.0-7.0-1.0-0.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9451},{""page_index"":1,""viewing_time"":2524},{""page_index"":2,""viewing_time"":1991}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"808","","j","psychophysics","9","112322","0.0-7.0-1.0-1.0-0.0-0.0","3","3","3","3","3","3","3","3","3","3","4","2","2","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","4","2","2","4","4","","2","4","4","4","2","718762010250051584","李","235","","","","match","","","","","","","","","","","","","","key","j","15.624770642201888","683","380","j","true","match","img/square.png","方形","方形","ALT1_2","prac_ALT1_2","","","","","","","","","","","",""
