"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order","correct_answer","trap1_item"
"11778","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color: lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","11780","0.0-0.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","11780","0.0-1.0-0.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13626","","{""friend_name"":""刘"",""ParticipantID"":""591""}","survey-html-form","2","25407","0.0-1.0-1.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","26595","0.0-2.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92018.5","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","survey-template","4","118616","0.0-3.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q09"",""Q10"",""Q08"",""Q07"",""Q06"",""Q05"",""Q03"",""Q02"",""Q01"",""Q04""]","[80857.19999992847,81665.10000002384,82329.29999995232,83233.5,84121,85089.60000002384,87465.29999995232,88394.19999992847,89369.19999992847,89985.29999995232]","[]","[80305.60000002384,80857.19999992847,81289.29999995232,81665.10000002384,82329.29999995232,83233.5,84121,85089.60000002384,86577.60000002384,87465.29999995232,88394.19999992847,89369.19999992847,89985.29999995232,92017.69999992847]","0.5","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19731.399999976158","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5"",""Q07"":""5"",""Q08"":""5"",""Q09"":""5"",""Q10"":""5""}","survey-template","5","138351","0.0-4.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5"",""Q07"":""5"",""Q08"":""5"",""Q09"":""5"",""Q10"":""5""}","[0,1,2,3,4,5,6,7,8,9]","[""Q09"",""Q10"",""Q08"",""Q07"",""Q06"",""Q05"",""Q04"",""Q03"",""Q02"",""Q01""]","[1435.2999999523163,2307,3146.600000023842,4298.600000023842,5187,6498.799999952316,7666.799999952316,10050.699999928474,10587.600000023842,11355.299999952316]","[]","[1435.2999999523163,2307,3146.600000023842,4298.600000023842,5187,6050.699999928474,6498.799999952316,7666.799999952316,8466.600000023842,9179.100000023842,9730.799999952316,10050.699999928474,10587.600000023842,11355.299999952316,19730.600000023842]","0.6","0.7777777777777778","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","138677","0.0-5.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1033","","","instructions","7","139710","0.0-6.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1033}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"78215","","","instructions","8","217926","0.0-7.0-0.0-0.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":75631},{""page_index"":1,""viewing_time"":1488},{""page_index"":2,""viewing_time"":1096}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"593","","f","psychophysics","9","219523","0.0-7.0-0.0-1.0-0.0-0.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","nonmatch","","","","","","","","","","","","","","key","f","16.651063829787358","768","428","f","true","nonmatch","img/circle.png","五边","圆形","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","10","220025","0.0-7.0-0.0-1.0-0.0-1.0","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
"804","","f","psychophysics","11","221832","0.0-7.0-0.0-1.0-0.0-0.1","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","nonmatch","","","","","","","","","","","","","","key","f","16.65140186915899","768","428","f","true","nonmatch","img/square.png","五边","方形","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","12","222333","0.0-7.0-0.0-1.0-0.0-1.1","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
"963","","j","psychophysics","13","224298","0.0-7.0-0.0-1.0-0.0-0.2","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","match","","","","","","","","","","","","","","key","j","16.651282051281903","768","428","j","true","match","img/circle.png","圆形","圆形","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","14","224799","0.0-7.0-0.0-1.0-0.0-1.2","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
"866","","j","psychophysics","15","226666","0.0-7.0-0.0-1.0-0.0-0.3","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","match","","","","","","","","","","","","","","key","j","16.651351351351245","768","428","j","true","match","img/pentagon.png","五边","五边","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","16","227168","0.0-7.0-0.0-1.0-0.0-1.3","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
"632","","j","psychophysics","17","228802","0.0-7.0-0.0-1.0-0.0-0.4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","match","","","","","","","","","","","","","","key","j","16.651546391752397","768","428","j","true","match","img/pentagon.png","五边","五边","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","18","229303","0.0-7.0-0.0-1.0-0.0-1.4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
"616","","j","psychophysics","19","230920","0.0-7.0-0.0-1.0-0.0-0.5","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","match","","","","","","","","","","","","","","key","j","16.652083333333394","768","428","j","true","match","img/diamond.png","菱形","菱形","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","20","231420","0.0-7.0-0.0-1.0-0.0-1.5","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
"642","","f","psychophysics","21","233064","0.0-7.0-0.0-1.0-0.0-0.6","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","nonmatch","","","","","","","","","","","","","","key","f","16.648979591836795","768","428","f","true","nonmatch","img/diamond.png","五边","菱形","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","22","233566","0.0-7.0-0.0-1.0-0.0-1.6","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
"551","","f","psychophysics","23","235119","0.0-7.0-0.0-1.0-0.0-0.7","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","nonmatch","","","","","","","","","","","","","","key","f","16.652173913043477","768","428","f","true","nonmatch","img/diamond.png","圆形","菱形","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","24","235621","0.0-7.0-0.0-1.0-0.0-1.7","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","",""
"605","","f","psychophysics","25","237227","0.0-7.0-0.0-1.0-0.0-0.8","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","1","5","2","1","1","2","1","1","2","1","5","1","634716408718032896","刘","591","","","","nonmatch","","","","","","","","","","","","","","key","f","16.652083333333394","768","428","f","true","nonmatch","img/square.png","圆形","方形","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
