"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib2","version_target2","IAT","RT","varname","summary","version_attrib","version_target","question_order","correct_answer","trap1_item"
"204535","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color: lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","204538","0.0-0.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","204539","0.0-1.0-0.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13436","","{""friend_name"":""杨"",""ParticipantID"":""67""}","survey-html-form","2","217976","0.0-1.0-1.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","232991","0.0-2.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27055.29999999993","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""3""}","survey-template","4","260050","0.0-3.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[11826,12456.400000000023,14864,17596.400000000023,18645.699999999953,20222.099999999977,22253.79999999993,23247.699999999953,24266,26175.79999999993]","[]","[10908.400000000023,11826,12456.400000000023,13882.099999999977,14864,17596.400000000023,18645.699999999953,20222.099999999977,22253.79999999993,23247.699999999953,24266,26175.79999999993,27053.900000000023]","0.6","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24910.800000000047","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2"",""Q04"":""3"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""3"",""Q09"":""4"",""Q10"":""2""}","survey-template","5","284968","0.0-4.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2"",""Q04"":""3"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""3"",""Q09"":""4"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[6872.800000000047,8607,10493,12287.300000000047,13423.199999999953,16347.300000000047,17166.5,18830.900000000023,20748.599999999977,24253]","[]","[6872.800000000047,8607,10493,12287.300000000047,13423.199999999953,16347.300000000047,17166.5,18830.900000000023,20748.599999999977,24253,24909.400000000023]","0.6","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","285404","0.0-5.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11505","","","instructions","7","296909","0.0-6.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":11505}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"23034","","","instructions","8","319945","0.0-7.0-1.0-0.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":14422},{""page_index"":1,""viewing_time"":6378},{""page_index"":2,""viewing_time"":2234}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","psychophysics","9","322155","0.0-7.0-1.0-1.0-0.0-0.0","3","3","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","3","4","2","5","4","4","3","4","4","4","4","4","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","4","1","3","2","4","3","4","4","5","2","1","798267707752587265","杨","67","","","","null","","","","","","","","","","","","","","key","null","16.66335877862569","640","356","j","false","match","img/trapezoid.png","梯形","梯形","ALT1_2","prac_ALT1_2","","","","","","","","","","","",""
