"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","view_history","identity","duration","Image","condition","question_order"
"8596","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","8601","0.0-0.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","8602","0.0-1.0-0.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55413","","[{""name"":""Sex"",""value"":""0""},{""name"":""friend_name"",""value"":""赵熊""},{""name"":""ParticipantID"",""value"":""468""}]","survey-html-form","2","64040","0.0-1.0-1.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","65668","0.0-2.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","67322","0.0-3.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15478.900000572205","","{""Q01"":""6"",""Q02"":""5"",""Q03"":""6"",""Q04"":""5"",""Q05"":""3""}","survey-template","5","82831","0.0-4.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""6"",""Q02"":""5"",""Q03"":""6"",""Q04"":""5"",""Q05"":""3""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q02""]","[2060.800000190735,4069.7000007629395,4908.700000762939,7796.5,12141.10000038147,14740.70000076294]","[]","[2060.800000190735,3372.7000007629395,4069.7000007629395,4908.700000762939,7796.5,12141.10000038147,14421.900000572205,14740.70000076294,15476.70000076294]","0.4","0.75","0","","","","","","","","","","","","","","","","","","","","","",""
"44466.800000190735","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""4""}","survey-template","6","127313","0.0-5.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""4""}","[0,1,2,3,4,5]","[""Q01"",""Q01"",""Q02"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06""]","[22753.300000190735,23969.199999809265,30153.199999809265,31137.599999427795,33793.300000190735,38881.199999809265,40697.099999427795,43681.39999961853]","[]","[22753.300000190735,23969.199999809265,30153.199999809265,31137.599999427795,33793.300000190735,38881.199999809265,40697.099999427795,43681.39999961853,44465.39999961853]","0.3333333333333333","0.2","0","","","","","","","","","","","","","","","","","","","","","",""
"20233.300000190735","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""2"",""Q07"":""1"",""Q08"":""0""}","survey-template","7","147555","0.0-6.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""2"",""Q07"":""1"",""Q08"":""0""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[2559.5,6391.39999961853,8600.099999427795,11231.199999809265,12679.39999961853,15135.39999961853,18039.699999809265,19599.300000190735]","[]","[2559.5,6135.800000190735,6391.39999961853,8600.099999427795,10871.39999961853,11231.199999809265,12679.39999961853,14103.800000190735,14879,15135.39999961853,18039.699999809265,19047,19599.300000190735,20231.300000190735]","0.5","0.8571428571428571","0","","","","","","","","","","","","","","","","","","","","","",""
"4015","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> f 键</span>，不符合按<span style=""color:red""> j 键</span></p>","0","html-button-response","8","151578","0.0-7.0-0.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Tue Oct 17 2023 18:45:25 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","",""
"1395","","f","psychophysics","9","153993","0.0-7.0-1.0-0.0","6","5","6","5","3","5","4","4","4","5","4","2","1","1","2","1","2","1","0","5","5","4","2","5","4","5","5","4","4","7","8","8","6","8","7","7","7","9","6","3","2","6","2","2","5","2","3","3","3","2","5","2","7","3","6","3","4","5","2","5","2","2","3","6","5","5","3","6","5","6","5","2","3","6","3","6","3","5","598888935887732736","赵熊","468","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","yes","","","","","","","","","SRET_EW","EW_practice","","key","f","18.598292307692464","758.3333534223067","422.22223340729164","自己","严谨","Positive","ability","","","","","","","","","",""
