"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","identity","view_history","duration","Image","condition","question_order"
"2085","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","2096","0.0-0.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","2119","0.0-1.0-0.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26351","","[{""name"":""Sex"",""value"":""0""},{""name"":""friend_name"",""value"":""林""},{""name"":""ParticipantID"",""value"":""683""}]","survey-html-form","2","28472","0.0-1.0-1.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","28681","0.0-2.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","29644","0.0-3.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33175","","{""Q01"":""5"",""Q02"":""6"",""Q03"":""7"",""Q04"":""5"",""Q05"":""6""}","survey-template","5","62887","0.0-4.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","","","","","","","{""Q01"":""5"",""Q02"":""6"",""Q03"":""7"",""Q04"":""5"",""Q05"":""6""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05""]","[15134,17164,18952,22810,31936]","[]","[15134,17164,18952,22810,30644,31936,33175]","0.4","0.75","0","","","","","","","","","","","","","","","","","","","","","",""
"53928","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""4"",""Q04"":""5"",""Q05"":""4"",""Q06"":""5""}","survey-template","6","116822","0.0-5.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","","","","","","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""4"",""Q04"":""5"",""Q05"":""4"",""Q06"":""5""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06""]","[4989,30916,34339,40008,46557,52886]","[]","[4989,30281,30916,34339,40008,46059,46557,52886,53928]","0.3333333333333333","0.2","0","","","","","","","","","","","","","","","","","","","","","",""
"50341","","{""Q01"":""1"",""Q02"":""-2"",""Q03"":""-1"",""Q04"":""-2"",""Q05"":""-1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""2""}","survey-template","7","167168","0.0-6.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","","","","","","","{""Q01"":""1"",""Q02"":""-2"",""Q03"":""-1"",""Q04"":""-2"",""Q05"":""-1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""2""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[4773,13426,21881,30396,35504,38752,45745,49700]","[]","[4773,13426,21881,30396,35504,38752,45745,49700,50341]","0.375","0.5714285714285714","0","","","","","","","","","","","","","","","","","","","","","",""
"7703","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> j 键</span>，不符合按<span style=""color:red""> f 键</span></p>","0","html-button-response","8","174877","0.0-7.0-0.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Wed Oct 18 2023 14:46:23 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","",""
"5206","","j","psychophysics","9","181275","0.0-7.0-1.0-0.0","5","6","7","5","6","5","4","4","5","4","5","1","-2","-1","-2","-1","1","1","2","4","4","5","5","4","5","5","4","5","5","8","5","6","7","5","6","8","6","7","3","6","1","6","5","5","6","7","5","5","5","5","1","6","5","6","5","6","6","6","2","7","2","5","6","5","6","6","7","7","5","6","7","3","6","6","7","5","6","7","595245798992642048","林","683","Male","[""坏我"",""坏他"",""好他"",""好我""]","[""弱我"",""弱他"",""强他"",""强我""]","","","","","","","","yes","","","","","","","","","SRET_EW","EW_practice","","key","j","18.30997101449276","640","356","自己","严谨","Positive","ability","","","","","","","","","",""
