"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","view_history","identity","duration","Image","condition","question_order"
"9284","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","9289","0.0-0.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","9290","0.0-1.0-0.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40422","","[{""name"":""Sex"",""value"":""1""},{""name"":""friend_name"",""value"":""韩""},{""name"":""ParticipantID"",""value"":""671""}]","survey-html-form","2","49722","0.0-1.0-1.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","50308","0.0-2.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","51449","0.0-3.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20060.300000190735","","{""Q01"":""6"",""Q02"":""7"",""Q03"":""5"",""Q04"":""5"",""Q05"":""6""}","survey-template","5","71532","0.0-4.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","{""Q01"":""6"",""Q02"":""7"",""Q03"":""5"",""Q04"":""5"",""Q05"":""6""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05""]","[8294.800000190735,10844.5,12800.5,13550.5,14592.700000047684]","[]","[8294.800000190735,9400.800000190735,10319.200000047684,10844.5,11970.900000095367,12800.5,13550.5,14592.700000047684,20056.800000190735]","0.4","0.5","0","","","","","","","","","","","","","","","","","","","","","",""
"29657.900000095367","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""5"",""Q04"":""4"",""Q05"":""5"",""Q06"":""4""}","survey-template","6","101207","0.0-5.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""5"",""Q04"":""4"",""Q05"":""5"",""Q06"":""4""}","[0,1,2,3,4,5]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05"",""Q06""]","[3543.2999999523163,5481,13964.200000047684,15226.400000095367,17234.200000047684,18447,19422.200000047684,20664.900000095367]","[]","[3543.2999999523163,4183.299999952316,4519.200000047684,5481,13157.200000047684,13705.400000095367,13964.200000047684,15226.400000095367,17234.200000047684,18447,19422.200000047684,20664.900000095367,29657.099999904633]","0.3333333333333333","0.2","0","","","","","","","","","","","","","","","","","","","","","",""
"52640.799999952316","","{""Q01"":""-2"",""Q02"":""-3"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""1""}","survey-template","7","153854","0.0-6.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","{""Q01"":""-2"",""Q02"":""-3"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""1""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[7790.5,9273.700000047684,11383.700000047684,19219.700000047684,21075.299999952316,22303.799999952316,23879.900000095367,25763.400000095367]","[]","[7059.700000047684,7445.799999952316,7790.5,8799.700000047684,9273.700000047684,11051.599999904633,11383.700000047684,19219.700000047684,21075.299999952316,22303.799999952316,23879.900000095367,25763.400000095367,52639.5]","0.5","0.7142857142857143","0","","","","","","","","","","","","","","","","","","","","","",""
"4644","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> j 键</span>，不符合按<span style=""color:red""> f 键</span></p>","0","html-button-response","8","158506","0.0-7.0-0.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Fri Nov 03 2023 10:32:06 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","",""
"2866","","f","psychophysics","9","162394","0.0-7.0-1.0-0.0","6","7","5","5","6","4","4","5","4","5","4","-2","-3","1","2","1","1","2","1","4","5","4","5","4","4","5","4","5","5","7","8","6","8","6","9","7","8","6","5","7","5","6","6","6","1","6","5","7","7","6","1","7","5","6","7","7","1","6","3","7","2","3","6","5","7","6","7","5","6","6","5","1","3","7","5","6","6","5","633773426204475392","韩","671","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","no","","","","","","","","","SRET_EW","EW_practice","","key","f","16.94266521739128","799.9999682108573","445.8333156175091","朋友","徇私","Negative","morality","","","","","","","","","",""
