"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","person","valence","domain","math","status","duration","question_order"
"3740","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","3742","0.0-0.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","3744","0.0-1.0-0.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39113","","[{""name"":""Sex"",""value"":""0""},{""name"":""friend_name"",""value"":""郭""},{""name"":""ParticipantID"",""value"":""60""}]","survey-html-form","2","42857","0.0-1.0-1.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","43414","0.0-2.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","45134","0.0-3.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15654.300000011921","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5"",""Q04"":""3"",""Q05"":""1""}","survey-template","5","60791","0.0-4.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5"",""Q04"":""3"",""Q05"":""1""}","[0,1,2,3,4]","[""Q05"",""Q04"",""Q03"",""Q02"",""Q01""]","[7344.300000011921,11621.5,12250.59999999404,13571.90000000596,14878.5]","[]","[5883.5999999940395,6266.4000000059605,6511.200000017881,6832.200000017881,7118.5999999940395,7344.300000011921,9931.40000000596,10435.5,11081.300000011921,11367,11621.5,12250.59999999404,13571.90000000596,14550.5,14878.5,15653.59999999404]","0.6","0","0","","","","","","","","","","","","","","","","","","","","","",""
"33984.30000001192","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""3"",""Q04"":""5"",""Q05"":""4"",""Q06"":""4""}","survey-template","6","94778","0.0-5.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""3"",""Q04"":""5"",""Q05"":""4"",""Q06"":""4""}","[0,1,2,3,4,5]","[""Q01"",""Q01"",""Q03"",""Q05"",""Q06"",""Q04"",""Q02"",""Q02""]","[2331.4000000059605,4138.300000011921,5773,10531.09999999404,13620.5,19468.19999998808,31910,32357.19999998808]","[]","[1996.300000011921,2331.4000000059605,2801.699999988079,3130.300000011921,4138.300000011921,5773,10000.199999988079,10531.09999999404,13620.5,18091.80000001192,18319.19999998808,18617.90000000596,19101.80000001192,19468.19999998808,29893.30000001192,31567.59999999404,31910,32357.19999998808,33332.69999998808,33983.69999998808]","0.3333333333333333","0.4","0","","","","","","","","","","","","","","","","","","","","","",""
"37031.70000001788","","{""Q01"":""0"",""Q02"":""-1"",""Q03"":""-2"",""Q04"":""2"",""Q05"":""-3"",""Q06"":""1"",""Q07"":""0"",""Q08"":""1""}","survey-template","7","131813","0.0-6.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""0"",""Q02"":""-1"",""Q03"":""-2"",""Q04"":""2"",""Q05"":""-3"",""Q06"":""1"",""Q07"":""0"",""Q08"":""1""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q02"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q06"",""Q08"",""Q07""]","[4441,8177.700000017881,13046.200000017881,16884.70000001788,18437.70000001788,20734.09999999404,24029.70000001788,25938.20000001788,26627.59999999404,28953.70000001788,35351.09999999404]","[]","[4441,8177.700000017881,10424.5,10938.5,12591.700000017881,13046.200000017881,15499.200000017881,15948,16168.200000017881,16884.70000001788,18437.70000001788,20734.09999999404,22473.09999999404,22995,23685,24029.70000001788,25938.20000001788,26627.59999999404,28953.70000001788,35105.59999999404,35351.09999999404,37030.30000001192]","0.25","0.7142857142857143","0","","","","","","","","","","","","","","","","","","","","","",""
"116596","","","instructions","8","248411","0.0-7.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":116595}]","","","","","","","","","","","","","","","","","","","","",""
"113311","","","instructions","9","361723","0.0-8.0-1.0-0.0","5","5","5","3","1","5","4","3","5","4","4","0","-1","-2","2","-3","1","0","1","5","5","5","5","5","2","3","4","2","2","1","7","5","8","3","6","4","9","7","2","2","5","2","5","1","5","4","2","2","2","1","6","2","5","5","2","2","3","3","3","6","7","7","3","7","6","6","7","7","7","6","7","4","2","7","5","7","2","7","764077949963210754","郭","60","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":87199},{""page_index"":1,""viewing_time"":22241},{""page_index"":2,""viewing_time"":2496},{""page_index"":3,""viewing_time"":1376}]","","","","","","","","","","","","","","","","","","","","",""
