"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","view_history","identity","duration","Image","condition","question_order"
"1836","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","1840","0.0-0.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","1842","0.0-1.0-0.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16784","","[{""name"":""Sex"",""value"":""0""},{""name"":""friend_name"",""value"":""刘""},{""name"":""ParticipantID"",""value"":""693""}]","survey-html-form","2","18627","0.0-1.0-1.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","22554","0.0-2.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","36801","0.0-3.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17666","","{""Q01"":""6"",""Q02"":""5"",""Q03"":""5"",""Q04"":""3"",""Q05"":""3""}","survey-template","5","54469","0.0-4.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","","","","","","","{""Q01"":""6"",""Q02"":""5"",""Q03"":""5"",""Q04"":""3"",""Q05"":""3""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q04"",""Q05"",""Q04"",""Q04"",""Q03"",""Q03""]","[2625.800000000745,3992.9000000003725,5208.4000000003725,9016.300000000745,9040.300000000745,10384.400000000373,11552.5,13568.200000001118,13592.200000001118,15520.099999999627,15544.200000001118]","[]","[2625.800000000745,3992.9000000003725,4656.4000000003725,5208.4000000003725,9016.300000000745,9040.300000000745,10384.400000000373,11168.200000001118,11552.5,13568.200000001118,13592.200000001118,15520.099999999627,15544.200000001118,17664.5]","0.4","0.25","0","","","","","","","","","","","","","","","","","","","","","",""
"15169.900000000373","","{""Q01"":""5"",""Q02"":""2"",""Q03"":""5"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5""}","survey-template","6","69645","0.0-5.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","","","","","","","{""Q01"":""5"",""Q02"":""2"",""Q03"":""5"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06"",""Q06"",""Q06""]","[2408.5999999996275,4498.200000001118,5040.200000001118,6192.700000001118,8920.599999999627,8960.300000000745,10360.400000000373,13400.599999999627,14488.200000001118,14760.5]","[]","[2408.5999999996275,3960.5,3984.5999999996275,4498.200000001118,5040.200000001118,5632.200000001118,5696.300000000745,6192.700000001118,8920.599999999627,8960.300000000745,10360.400000000373,12392.700000001118,12912.400000000373,12984.400000000373,13400.599999999627,14088.700000001118,14488.200000001118,14760.5,15168.700000001118]","0.5","0.4","0","","","","","","","","","","","","","","","","","","","","","",""
"18475.599999999627","","{""Q01"":""1"",""Q02"":""0"",""Q03"":""1"",""Q04"":""2"",""Q05"":""0"",""Q06"":""1"",""Q07"":""1"",""Q08"":""2""}","survey-template","7","88125","0.0-6.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","","","","","","","{""Q01"":""1"",""Q02"":""0"",""Q03"":""1"",""Q04"":""2"",""Q05"":""0"",""Q06"":""1"",""Q07"":""1"",""Q08"":""2""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[1722.199999999255,3594.0999999996275,5658.4000000003725,8185.9000000003725,10546.199999999255,12474.199999999255,13930.300000000745,17962]","[]","[1722.199999999255,3594.0999999996275,4978.300000000745,5658.4000000003725,8185.9000000003725,10242.300000000745,10546.199999999255,11946.400000000373,12474.199999999255,13930.300000000745,15906,17962,18474]","0.5","0.7142857142857143","0","","","","","","","","","","","","","","","","","","","","","",""
"6306","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> j 键</span>，不符合按<span style=""color:red""> f 键</span></p>","0","html-button-response","8","94435","0.0-7.0-0.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Thu Nov 02 2023 20:38:07 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","",""
"2577","","j","psychophysics","9","98025","0.0-7.0-1.0-0.0","6","5","5","3","3","5","2","5","4","4","5","1","0","1","2","0","1","1","2","4","5","4","5","4","5","4","5","4","4","7","6","6","7","6","7","8","7","7","6","3","3","6","5","2","7","2","5","2","5","1","6","3","6","6","5","2","5","2","3","6","3","5","2","7","5","5","6","7","7","6","5","3","3","6","3","5","2","5","720215098982924288","刘","693","Male","[""坏他"",""坏我"",""好他"",""好我""]","[""弱他"",""弱我"",""强他"",""强我""]","","","","","","","","yes","","","","","","","","","SRET_EW","EW_practice","","key","j","16.752280373831834","758.3333534223067","422.22223340729164","朋友","徇私","Negative","morality","","","","","","","","","",""
