"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","person","valence","domain","math","status","duration","question_order"
"1346","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","1347","0.0-0.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","1348","0.0-1.0-0.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13322","","[{""name"":""Sex"",""value"":""1""},{""name"":""friend_name"",""value"":""张""},{""name"":""ParticipantID"",""value"":""276""}]","survey-html-form","2","14671","0.0-1.0-1.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","14773","0.0-2.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","16339","0.0-3.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11860.200000047684","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2"",""Q04"":""3"",""Q05"":""1""}","survey-template","5","28201","0.0-4.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","","","","","","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2"",""Q04"":""3"",""Q05"":""1""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05""]","[2800.300000011921,6034.300000011921,7280.5,8475.300000011921,10817.300000011921]","[]","[2800.300000011921,6034.300000011921,7280.5,8475.300000011921,9547.300000011921,10817.300000011921,11859.5]","0.4","0.5","0","","","","","","","","","","","","","","","","","","","","","",""
"16574.700000047684","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""4"",""Q05"":""4"",""Q06"":""4""}","survey-template","6","44778","0.0-5.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","","","","","","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""4"",""Q05"":""4"",""Q06"":""4""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06""]","[3576.300000011921,7193.200000047684,9073.200000047684,11664.400000035763,13356.100000023842,14158.100000023842,15876.200000047684]","[]","[2600.5,3576.300000011921,4987.300000011921,5926.200000047684,7193.200000047684,9073.200000047684,11664.400000035763,12859.400000035763,13356.100000023842,14158.100000023842,15003.5,15876.200000047684,16574.200000047684]","0.5","0.4","0","","","","","","","","","","","","","","","","","","","","","",""
"22592.19999998808","","{""Q01"":""0"",""Q02"":""-1"",""Q03"":""-2"",""Q04"":""-1"",""Q05"":""-2"",""Q06"":""1"",""Q07"":""0"",""Q08"":""0""}","survey-template","7","67372","0.0-6.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","","","","","","","{""Q01"":""0"",""Q02"":""-1"",""Q03"":""-2"",""Q04"":""-1"",""Q05"":""-2"",""Q06"":""1"",""Q07"":""0"",""Q08"":""0""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q06"",""Q08""]","[2258.100000023842,3411.300000011921,5337.300000011921,8911.600000023842,11724.5,14397.100000023842,17309.80000001192,19872.899999976158,21721.80000001192]","[]","[2258.100000023842,3411.300000011921,5337.300000011921,7346.100000023842,8911.600000023842,10687.600000023842,11724.5,14397.100000023842,17309.80000001192,19872.899999976158,21721.80000001192,22591.5]","0.375","0.7142857142857143","0","","","","","","","","","","","","","","","","","","","","","",""
"9615","","","instructions","8","76988","0.0-7.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9615}]","","","","","","","","","","","","","","","","","","","","",""
"103170","","","instructions","9","180158","0.0-8.0-1.0-0.0","3","2","2","3","1","4","3","2","4","4","4","0","-1","-2","-1","-2","1","0","0","5","3","5","4","3","4","4","3","4","4","7","6","8","8","6","6","7","8","7","6","3","5","4","4","3","5","4","3","3","3","3","6","3","2","5","4","2","4","3","3","4","2","3","3","4","5","6","5","6","7","5","7","3","3","6","3","6","3","7","774306025401749506","张","276","Female","[""好她"",""好我"",""坏我"",""坏她""]","[""强她"",""强我"",""弱我"",""弱她""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":17192},{""page_index"":1,""viewing_time"":4848},{""page_index"":0,""viewing_time"":4270},{""page_index"":1,""viewing_time"":52862},{""page_index"":2,""viewing_time"":6272},{""page_index"":3,""viewing_time"":2151},{""page_index"":2,""viewing_time"":1430},{""page_index"":1,""viewing_time"":4704},{""page_index"":2,""viewing_time"":1574},{""page_index"":3,""viewing_time"":7868}]","","","","","","","","","","","","","","","","","","","","",""
