"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","person","valence","domain","math","status","duration","question_order"
"1830","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","1836","0.0-0.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","1838","0.0-1.0-0.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25067","","[{""name"":""Sex"",""value"":""0""},{""name"":""friend_name"",""value"":""黄""},{""name"":""ParticipantID"",""value"":""462""}]","survey-html-form","2","26910","0.0-1.0-1.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","28182","0.0-2.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","30338","0.0-3.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9904.699999999255","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""6"",""Q04"":""5"",""Q05"":""6""}","survey-template","5","40256","0.0-4.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""6"",""Q04"":""5"",""Q05"":""6""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05""]","[2861.699999999255,4933.199999999255,5709.299999998882,7493.4000000003725,9045.199999999255]","[]","[2861.699999999255,4933.199999999255,5709.299999998882,7493.4000000003725,9045.199999999255,9557.299999998882,9901.299999998882]","0.6","0.75","0","","","","","","","","","","","","","","","","","","","","","",""
"12956.599999999627","","{""Q01"":""5"",""Q02"":""3"",""Q03"":""4"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5""}","survey-template","6","53229","0.0-5.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","{""Q01"":""5"",""Q02"":""3"",""Q03"":""4"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06""]","[2338.5,4250.39999999851,5890.299999998882,8330.199999999255,9034.299999998882,12418.299999998882]","[]","[2338.5,4250.39999999851,5442.39999999851,5890.299999998882,8330.199999999255,9034.299999998882,12058.299999998882,12418.299999998882,12954.39999999851]","0.3333333333333333","0.4","0","","","","","","","","","","","","","","","","","","","","","",""
"16930.800000000745","","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0"",""Q04"":""1"",""Q05"":""-1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0""}","survey-template","7","70177","0.0-6.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0"",""Q04"":""1"",""Q05"":""-1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[2383.300000000745,4071.199999999255,5943.0999999996275,7847,9407,11350.900000000373,13950.800000000745,16398.900000000373]","[]","[2383.300000000745,4071.199999999255,5943.0999999996275,7847,9407,11350.900000000373,13527,13950.800000000745,15127.199999999255,15558.900000000373,16006.699999999255,16398.900000000373,16927.099999999627]","0.5","0.5714285714285714","0","","","","","","","","","","","","","","","","","","","","","",""
"1851","","","instructions","8","72044","0.0-7.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1849}]","","","","","","","","","","","","","","","","","","","","",""
"122466","","","instructions","9","194515","0.0-8.0-1.0-0.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1714},{""page_index"":1,""viewing_time"":102687},{""page_index"":2,""viewing_time"":14712},{""page_index"":3,""viewing_time"":3352}]","","","","","","","","","","","","","","","","","","","","",""
"1047","","f","psychophysics","10","196578","0.0-8.0-1.0-1.0-0.0-0.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","match","","","","","","","","","","key","f","16.80508264462817","683","380","j","false","nonmatch","img/ellipse.png","弱他","强我","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:red; font-size: 70px;'>错误! </span>","null","html-keyboard-response","11","197082","0.0-8.0-1.0-1.0-0.0-1.0","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"904","","f","psychophysics","12","198994","0.0-8.0-1.0-1.0-0.0-0.1","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","match","","","","","","","","","","key","f","16.65775221238939","683","380","f","true","match","img/pentagon.png","弱他","弱他","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","13","199498","0.0-8.0-1.0-1.0-0.0-1.1","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"1117","","f","psychophysics","14","201619","0.0-8.0-1.0-1.0-0.0-0.2","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","match","","","","","","","","","","key","f","16.660722222222137","683","380","j","false","nonmatch","img/pentagon.png","强他","弱他","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:red; font-size: 70px;'>错误! </span>","null","html-keyboard-response","15","202123","0.0-8.0-1.0-1.0-0.0-1.2","5","5","6","5","6","5","3","4","5","5","5","0","1","0","1","-1","1","1","0","5","4","4","5","4","4","5","4","4","5","7","8","7","8","7","8","8","8","9","5","3","6","4","4","3","5","1","4","3","5","4","6","4","4","6","5","4","5","4","5","5","5","6","3","6","6","5","5","5","6","5","4","5","5","5","6","5","4","5","729745091731918850","黄","462","Male","[""坏我"",""好我"",""好他"",""坏他""]","[""弱我"",""强我"",""强他"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
