"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","trap2","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","view_history","identity","duration","Image","condition","question_order","trap2_item"
"4475","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color:lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","4481","0.0-0.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","4484","0.0-1.0-0.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14081","","[{""name"":""Sex"",""value"":""1""},{""name"":""friend_name"",""value"":""刘""},{""name"":""ParticipantID"",""value"":""137""}]","survey-html-form","2","18566","0.0-1.0-1.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","20354","0.0-2.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","21488","0.0-3.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16314.200000000012","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""2""}","survey-template","5","37807","0.0-4.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","","","","","","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""2""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q01"",""Q05""]","[2313.4000000000233,2825,5465.5,6657.400000000023,10097,11960.700000000012,15457.400000000023]","[]","[2313.4000000000233,2825,4089.2000000000116,5465.5,6009.200000000012,6657.400000000023,8137.299999999988,10097,11017.5,11960.700000000012,15457.400000000023,16313.5]","0.6","0.5","0","","","","","","","","","","","","","","","","","","","","","","",""
"13084.099999999977","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""5"",""Q05"":""5"",""Q06"":""4""}","survey-template","6","50894","0.0-5.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","","","","","","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""5"",""Q05"":""5"",""Q06"":""4""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q05"",""Q06"",""Q04""]","[2355.7999999999884,4787.400000000023,6131.700000000012,9571.299999999988,10899.900000000023,12203.599999999977]","[]","[2355.7999999999884,4787.400000000023,6131.700000000012,7875.900000000023,8803.700000000012,9571.299999999988,10899.900000000023,12203.599999999977,13083.599999999977]","0.3333333333333333","0.6","0","","","","","","","","","","","","","","","","","","","","","","",""
"21981.20000000001","","{""Q01"":""0"",""Q02"":""1"",""Q03"":""-1"",""Q04"":""0"",""Q05"":""-1"",""Q06"":""-1"",""Q07"":""0"",""Q08"":""0""}","survey-template","7","72879","0.0-6.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","","","","","","","{""Q01"":""0"",""Q02"":""1"",""Q03"":""-1"",""Q04"":""0"",""Q05"":""-1"",""Q06"":""-1"",""Q07"":""0"",""Q08"":""0""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[4237.100000000035,7581.200000000012,9820.799999999988,11668.399999999965,15013.299999999988,17412.899999999965,19844.79999999999,20868.29999999999]","[]","[3196.7000000000116,4237.100000000035,5565.299999999988,7581.200000000012,9820.799999999988,11668.399999999965,13645.299999999988,15013.299999999988,17412.899999999965,19844.79999999999,20868.29999999999,21980.100000000035]","0.5","0.5714285714285714","0","","","","","","","","","","","","","","","","","","","","","","",""
"15981","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> j 键</span>，不符合按<span style=""color:red""> f 键</span></p>","0","html-button-response","8","88862","0.0-7.0-0.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Sun Jan 07 2024 13:43:48 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","","",""
"1838","","j","psychophysics","9","91703","0.0-7.0-1.0-0.0","4","3","3","3","2","4","3","2","5","5","4","0","1","-1","0","-1","-1","0","0","5","4","5","4","4","4","4","4","4","3","6","7","6","7","6","6","7","6","7","4","3","2","4","4","3","4","3","4","3","1","4","3","5","3","4","4","3","3","2","4","4","4","4","6","3","7","5","5","5","6","5","5","5","6","5","5","4","6","3","5","732534816976932865","刘","137","Female","[""好她"",""坏她"",""坏我"",""好我""]","[""强她"",""弱她"",""弱我"",""强我""]","","","","","","","","yes","","","","","","","","","SRET_EW","EW_practice","","key","j","16.683511764705884","960","536","自己","刻板","Negative","ability","","","","","","","","","","",""
