"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","trap2","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","view_history","identity","duration","Image","condition","question_order","trap2_item"
"3483","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color:lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","3485","0.0-0.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","3486","0.0-1.0-0.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33693","","[{""name"":""Sex"",""value"":""1""},{""name"":""friend_name"",""value"":""lj""},{""name"":""ParticipantID"",""value"":""167""}]","survey-html-form","2","37179","0.0-1.0-1.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","37394","0.0-2.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","39593","0.0-3.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21680.40000000596","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""6"",""Q04"":""2"",""Q05"":""1""}","survey-template","5","61276","0.0-4.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""6"",""Q04"":""2"",""Q05"":""1""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q02"",""Q03"",""Q03"",""Q01"",""Q04"",""Q05""]","[9580.29999999702,10939.90000000596,11164.79999999702,13164.60000000894,15457.5,16688.70000000298,19066.79999999702,20426.90000000596]","[]","[9580.29999999702,10939.90000000596,11164.79999999702,13164.60000000894,15457.5,16688.70000000298,19066.79999999702,20426.90000000596,21679.60000000894]","0.4","0.5","0","","","","","","","","","","","","","","","","","","","","","","",""
"31772.29999999702","","{""Q01"":""4"",""Q02"":""2"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5""}","survey-template","6","93051","0.0-5.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","{""Q01"":""4"",""Q02"":""2"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06""]","[20254.20000000298,22428.10000000894,24728.60000000894,27173.40000000596,28249,30783.29999999702]","[]","[20254.20000000298,22428.10000000894,24728.60000000894,27173.40000000596,28249,30783.29999999702,31771.70000000298]","0.5","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"15823.29999999702","","{""Q01"":""0"",""Q02"":""-2"",""Q03"":""0"",""Q04"":""1"",""Q05"":""-1"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0""}","survey-template","7","108877","0.0-6.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","{""Q01"":""0"",""Q02"":""-2"",""Q03"":""0"",""Q04"":""1"",""Q05"":""-1"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[2492.2999999970198,3962.5,5848.0999999940395,7207.0999999940395,8932.90000000596,10843.40000000596,13504.90000000596,14738.20000000298]","[]","[2492.2999999970198,3962.5,5848.0999999940395,7207.0999999940395,8932.90000000596,10843.40000000596,12469.79999999702,13504.90000000596,14738.20000000298,15822.5]","0.5","0.5714285714285714","0","","","","","","","","","","","","","","","","","","","","","","",""
"51023","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> j 键</span>，不符合按<span style=""color:red""> f 键</span></p>","0","html-button-response","8","159902","0.0-7.0-0.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Tue Jan 16 2024 19:17:24 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","","",""
"null","","null","psychophysics","9","162906","0.0-7.0-1.0-0.0","5","5","6","2","1","4","2","4","4","4","5","0","-2","0","1","-1","0","1","0","4","4","5","4","3","4","4","4","3","4","5","6","4","6","4","5","5","6","5","5","6","5","4","5","5","5","1","5","6","1","5","5","5","4","3","3","5","5","6","4","6","5","3","2","2","6","5","6","6","6","7","5","7","6","3","6","2","6","4","5","796472353797316610","lj","167","Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","","","","","","","","","","","","","","","","","SRET_EW","EW_practice","","key","null","16.667222222222254","640","356","朋友","徇私","Negative","morality","","","","","","","","","","",""
