"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","trap2","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","view_history","identity","duration","Image","condition","question_order","trap2_item"
"5297","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color:lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","5298","0.0-0.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","5299","0.0-1.0-0.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10020","","[{""name"":""Sex"",""value"":""0""},{""name"":""friend_name"",""value"":""黄""},{""name"":""ParticipantID"",""value"":""12""}]","survey-html-form","2","15320","0.0-1.0-1.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","15452","0.0-2.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","24761","0.0-3.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11873.40000000596","","{""Q01"":""7"",""Q02"":""7"",""Q03"":""7"",""Q04"":""7"",""Q05"":""7""}","survey-template","5","36643","0.0-4.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""7"",""Q02"":""7"",""Q03"":""7"",""Q04"":""7"",""Q05"":""7""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05""]","[3556.800000011921,4108.9000000059605,5541,9549.10000000894,10244.60000000894]","[]","[2964.7000000029802,3556.800000011921,4108.9000000059605,5541,9084.5,9549.10000000894,10244.60000000894,11872.70000000298]","1","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"20673.10000000894","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""4"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5""}","survey-template","6","57319","0.0-5.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""4"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06""]","[5400.5,9192.40000000596,10168.70000000298,12280.5,13848.60000000894,18600.60000000894]","[]","[5400.5,8372.29999999702,9192.40000000596,10168.70000000298,12280.5,13848.60000000894,18600.60000000894,20672.60000000894]","0.3333333333333333","0.2","0","","","","","","","","","","","","","","","","","","","","","","",""
"34042.10000000894","","{""Q01"":""2"",""Q02"":""-1"",""Q03"":""2"",""Q04"":""0"",""Q05"":""-1"",""Q06"":""0"",""Q07"":""2"",""Q08"":""0""}","survey-template","7","91363","0.0-6.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""2"",""Q02"":""-1"",""Q03"":""2"",""Q04"":""0"",""Q05"":""-1"",""Q06"":""0"",""Q07"":""2"",""Q08"":""0""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[3273.2000000029802,7441.300000011921,10605.20000000298,13393.40000000596,16077.300000011921,19109.30000001192,23189.40000000596,25557.5]","[]","[3273.2000000029802,6417.5,7441.300000011921,10605.20000000298,13393.40000000596,16077.300000011921,19109.30000001192,23189.40000000596,25557.5,29989.40000000596,34041.40000000596]","0.375","0.2857142857142857","0","","","","","","","","","","","","","","","","","","","","","","",""
"6817","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> f 键</span>，不符合按<span style=""color:red""> j 键</span></p>","0","html-button-response","8","98182","0.0-7.0-0.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Sat Jan 27 2024 22:15:17 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","","",""
"1414","","j","psychophysics","9","100598","0.0-7.0-1.0-0.0","7","7","7","7","7","5","4","4","5","5","5","2","-1","2","0","-1","0","2","0","5","4","5","5","4","3","4","4","4","4","5","5","4","8","7","3","7","5","5","6","7","5","5","4","2","6","1","5","4","1","4","2","4","3","2","5","5","6","5","3","3","4","3","7","5","6","3","7","7","7","7","7","7","4","4","6","3","7","4","6","801783599631310849","黄","12","Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","","","","","","","","no","","","","","","","","","SRET_EW","EW_practice","","key","j","16.665668965517323","640","356","朋友","徇私","Negative","morality","","","","","","","","","","",""
