Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21.342402935,,,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
正直,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/9.png,j,material/109.png,j,j,正直,秉直,friend,friend,friend,1,1,1,material/109.png,,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,4,2.10810112953,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
残忍,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/41.png,j,material/141.png,j,j,残忍,歹毒,friend,friend,friend,1,1,1,material/141.png,,,,,,,,,,,,,,,,,0,1,1,40,,,,,,,,,,,,,,,1,1.24242401123,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
怠惰,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/181.png,j,material/180.png,j,j,怠惰,犹豫,friend,friend,friend,2,2,2,material/180.png,,,,,,,,,,,,,,,,,0,2,2,79,,,,,,,,,,,,,,,1,1.14218187332,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
迟钝,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/53.png,f,material/153.png,f,f,迟缓,迟缓,self,self,self,2,2,2,material/53.png,,,,,,,,,,,,,,,,,0,3,3,52,,,,,,,,,,,,,,,1,1.82565021515,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
犹豫,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/78.png,f,material/181.png,f,f,厌学,草率,self,self,self,2,2,2,material/184.png,,,,,,,,,,,,,,,,,0,4,4,80,,,,,,,,,,,,,,,2,1.86636996269,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
多才,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/23.png,f,material/123.png,f,f,有才,有才,self,self,self,2,2,2,material/23.png,,,,,,,,,,,,,,,,,0,5,5,22,,,,,,,,,,,,,,,4,1.19239997864,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
自律,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/28.png,j,material/128.png,j,j,克己,克己,friend,friend,friend,2,2,2,material/28.png,,,,,,,,,,,,,,,,,0,6,6,27,,,,,,,,,,,,,,,4,1.59056520462,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
博学,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/22.png,f,material/122.png,f,f,才学,才学,self,self,self,2,2,2,material/22.png,,,,,,,,,,,,,,,,,0,7,7,21,,,,,,,,,,,,,,,4,1.22582912445,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
差生,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/81.png,j,material/179.png,j,j,呆笨,无助,friend,friend,friend,2,2,2,material/83.png,,,,,,,,,,,,,,,,,0,8,8,78,,,,,,,,,,,,,,,2,1.20015907288,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
