,ID,ability_IAT,moral_IAT
1,phase_003_subj_10,0.669,0.699
2,phase_003_subj_11,0.572,0.061
3,phase_003_subj_13,0.704,-0.268
4,phase_003_subj_2,0.237,0.453
5,phase_003_subj_3,0.356,0.112
6,phase_003_subj_4,0.442,0.274
7,phase_003_subj_6,0.044,-0.2
8,phase_003_subj_8,0.236,0.517
9,phase_003_subj_9,0.712,0.573
10,phase_004_subj_1,0,0.319
11,phase_004_subj_10,0.117,0.682
12,phase_004_subj_11,0.316,-0.531
13,phase_004_subj_13,0.092,0.158
14,phase_004_subj_15,0.328,0.38
15,phase_004_subj_16,0.566,0.22
16,phase_004_subj_18,0.559,0.815
17,phase_004_subj_2,0.227,0.295
18,phase_004_subj_3,-0.221,0.466
19,phase_004_subj_5,-0.089,0.651
20,phase_004_subj_8,-0.715,-0.144
21,phase_005_subj_1,0.603,0.785
22,phase_005_subj_10,0.221,0.409
23,phase_005_subj_12,0.221,0.128
24,phase_005_subj_13,0.78,0.316
25,phase_005_subj_16,0.721,0.49
26,phase_005_subj_18,0.788,1.431
27,phase_005_subj_19,0.643,0.859
28,phase_005_subj_2,0.065,0.29
29,phase_005_subj_3,1.044,0.54
30,phase_005_subj_4,0.262,0.138
31,phase_005_subj_5,0.337,0.311
32,phase_005_subj_7,-0.105,0.134
33,phase_005_subj_9,0.341,0.157
34,phase_006_subj_1,0.428,0.91
35,phase_006_subj_10,0.692,0.734
36,phase_006_subj_17,0.815,0.683
37,phase_006_subj_19,-0.024,0.049
38,phase_006_subj_2,0.496,0.641
39,phase_006_subj_22,0.189,0.231
40,phase_006_subj_23,0.646,0.175
41,phase_006_subj_24,-0.432,0.577
42,phase_006_subj_25,0.852,1.059
43,phase_006_subj_4,0.689,0.743
44,phase_006_subj_5,0.156,0.016
45,phase_006_subj_7,0.181,0.21
46,phase_006_subj_8,0.749,0.771
47,phase_007_subj_1,0.889,1.126
48,phase_007_subj_10,0.389,0.032
49,phase_007_subj_11,-0.258,0.818
50,phase_007_subj_12,0.237,0.408
51,phase_007_subj_13,-0.091,0.41
52,phase_007_subj_16,0.728,0.691
53,phase_007_subj_17,0.334,0.071
54,phase_007_subj_18,0.287,1.043
55,phase_007_subj_19,0.122,-0.023
56,phase_007_subj_21,0.376,-0.2
57,phase_007_subj_3,0.641,0.701
58,phase_007_subj_4,0.632,0.845
59,phase_007_subj_5,0.131,0.632
60,phase_007_subj_6,1.084,1.066
61,phase_007_subj_8,0.325,0.149
62,phase_008_subj_1,0.818,0.85
63,phase_008_subj_10,0.095,0.629
64,phase_008_subj_11,0.679,0.854
65,phase_008_subj_12,0.726,0.91
66,phase_008_subj_13,0.724,0.658
67,phase_008_subj_14,0.562,0.686
68,phase_008_subj_15,0.719,-0.066
69,phase_008_subj_16,0.31,0.414
70,phase_008_subj_17,0.718,0.71
71,phase_008_subj_18,0.422,0.745
72,phase_008_subj_19,0.953,0.707
73,phase_008_subj_2,0.853,0.704
74,phase_008_subj_20,0.728,0.65
75,phase_008_subj_8,-0.008,0.395
76,phase_009_subj_1,0.197,0.037
77,phase_009_subj_10,0.572,0.073
78,phase_009_subj_11,0.995,0.818
79,phase_009_subj_12,0.277,0.741
80,phase_009_subj_13,1.118,0.496
81,phase_009_subj_14,0.614,0.729
82,phase_009_subj_15,0.514,0.403
83,phase_009_subj_16,0.268,0.592
84,phase_009_subj_18,0.515,0.274
85,phase_009_subj_19,0.73,0.575
86,phase_009_subj_20,0.114,-0.279
87,phase_009_subj_21,0.334,-0.08
88,phase_009_subj_22,0.233,0.348
89,phase_009_subj_23,0.352,0.579
90,phase_009_subj_5,0.125,0.999
91,phase_009_subj_6,0.157,0.48
92,phase_009_subj_7,0.603,0.453
93,phase_009_subj_8,0.28,0.447
94,phase_009_subj_9,0.29,0.647
95,phase_010_subj_1,0.345,0.824
96,phase_010_subj_11,0.217,0.538
97,phase_010_subj_12,0.941,0.604
98,phase_010_subj_13,0.637,0.777
99,phase_010_subj_16,0.574,0.572
100,phase_010_subj_19,1.076,0.807
101,phase_010_subj_2,0.172,0.482
102,phase_010_subj_20,0.416,0.121
103,phase_010_subj_21,0.206,0.403
104,phase_010_subj_22,0.768,0.586
105,phase_010_subj_24,0.086,-0.221
106,phase_010_subj_3,0.067,-0.317
107,phase_010_subj_6,0.403,0.703
108,phase_010_subj_7,0.86,1.187
109,phase_010_subj_9,0.809,0.47
110,phase_011_subj_1,0.047,0.239
111,phase_011_subj_10,0.4,0.221
112,phase_011_subj_13,0.655,0.948
113,phase_011_subj_14,0.453,0.019
114,phase_011_subj_16,0.158,0.169
115,phase_011_subj_17,1.023,0.816
116,phase_011_subj_18,0.466,0.468
117,phase_011_subj_19,0.38,0.388
118,phase_011_subj_2,-0.305,0.918
119,phase_011_subj_20,0.6,0.017
120,phase_011_subj_22,0.172,0.349
121,phase_011_subj_23,0.031,0.593
122,phase_011_subj_24,-0.058,-0.009
123,phase_011_subj_25,0.742,0.541
124,phase_011_subj_3,0.069,0.389
125,phase_011_subj_4,0.584,0.826
126,phase_011_subj_5,0.726,0.533
127,phase_011_subj_6,0.437,0.748
128,phase_011_subj_7,0.413,0.727
129,phase_011_subj_8,0.424,0.064
130,phase_011_subj_9,-0.292,0.213
131,phase_012_subj_10,0.936,0.182
132,phase_012_subj_11,-0.124,0.868
133,phase_012_subj_12,0.218,0.146
134,phase_012_subj_13,0.535,0.147
135,phase_012_subj_14,-0.366,0.653
136,phase_012_subj_15,0.18,0.562
137,phase_012_subj_16,0.131,0.147
138,phase_012_subj_17,0.588,0.287
139,phase_012_subj_2,0.292,0.227
140,phase_012_subj_20,0.442,1.2
141,phase_012_subj_21,0.919,1.198
142,phase_012_subj_3,0.457,0.31
143,phase_012_subj_4,0.221,0.507
144,phase_012_subj_5,0.206,0.84
145,phase_012_subj_6,0.147,0.599
146,phase_012_subj_7,0.524,0.782
147,phase_012_subj_8,0.354,0.236
148,phase_013_subj_10,0.164,0.377
149,phase_013_subj_11,0.784,0.622
150,phase_013_subj_13,0.254,-0.056
151,phase_013_subj_17,-0.668,-0.081
152,phase_013_subj_18,0.654,0.408
153,phase_013_subj_19,0.794,0.764
154,phase_013_subj_2,0.236,0.449
155,phase_013_subj_21,0.337,0.656
156,phase_013_subj_22,0.308,-0.003
157,phase_013_subj_23,0.265,0.331
158,phase_013_subj_25,0.099,0.662
159,phase_013_subj_26,0.517,0.612
160,phase_013_subj_27,0.163,0.661
161,phase_013_subj_28,0.553,0.069
162,phase_013_subj_29,0.089,0.574
163,phase_013_subj_30,-0.261,0.069
164,phase_013_subj_31,-0.058,0.446
165,phase_013_subj_32,-0.008,0.221
166,phase_013_subj_33,0.316,1.305
167,phase_013_subj_4,0.01,0.435
168,phase_013_subj_5,0.507,0.726
169,phase_013_subj_6,0.233,0.578
170,phase_013_subj_7,-0.095,0.452
171,phase_013_subj_8,0.311,0.803
172,phase_013_subj_9,0.974,0.566
173,phase_014_subj_10,0.383,0.664
174,phase_014_subj_11,0.171,0.81
175,phase_014_subj_12,1.166,1.034
176,phase_014_subj_13,0.852,0.624
177,phase_014_subj_16,0.166,0.307
178,phase_014_subj_17,0.228,-0.285
179,phase_014_subj_18,0.677,0.632
180,phase_014_subj_19,0.888,0.303
181,phase_014_subj_21,0.26,0.475
182,phase_014_subj_23,0.345,0.764
183,phase_014_subj_27,0.059,0.732
184,phase_014_subj_29,1.056,0.845
185,phase_014_subj_31,-0.186,0.223
186,phase_014_subj_32,0.224,0.878
187,phase_014_subj_33,0.31,0.491
188,phase_014_subj_34,0.348,0.923
189,phase_014_subj_36,-0.072,-0.122
190,phase_014_subj_37,0.342,0.765
191,phase_014_subj_39,0.972,0.828
192,phase_014_subj_4,0.11,-0.011
193,phase_014_subj_40,0.201,0.361
194,phase_014_subj_41,0.594,0.866
195,phase_014_subj_42,-0.265,0.187
196,phase_014_subj_45,-0.049,0.382
197,phase_014_subj_48,0.339,0.683
198,phase_014_subj_5,0.43,0.426
199,phase_014_subj_50,-0.311,-0.33
200,phase_014_subj_51,0.631,0.386
201,phase_014_subj_53,0.367,0.066
202,phase_014_subj_55,0.553,0.767
203,phase_014_subj_59,0.353,0.967
204,phase_014_subj_61,0.542,0.511
205,phase_014_subj_8,0.14,0.01
206,phase_014_subj_9,0.147,0.575
207,phase_015_subj_1,0.127,0.556
208,phase_015_subj_10,0.545,-0.174
209,phase_015_subj_11,0.256,0.447
210,phase_015_subj_12,-0.937,0.455
211,phase_015_subj_15,1.076,0.598
212,phase_015_subj_16,0.239,0.632
213,phase_015_subj_17,-0.389,0.195
214,phase_015_subj_18,0.487,0.767
215,phase_015_subj_19,0.368,0.673
216,phase_015_subj_2,0.467,0.786
217,phase_015_subj_20,0.535,1.022
218,phase_015_subj_21,-0.028,0.648
219,phase_015_subj_22,0.433,-0.05
220,phase_015_subj_23,0.177,-0.304
221,phase_015_subj_24,0.237,-0.002
222,phase_015_subj_25,0.504,0.13
223,phase_015_subj_26,0.622,0.68
224,phase_015_subj_27,0.382,0.313
225,phase_015_subj_28,-0.082,0.736
226,phase_015_subj_29,0.576,0.592
227,phase_015_subj_3,-0.204,0.131
228,phase_015_subj_30,1.137,0.866
229,phase_015_subj_31,0.274,0.264
230,phase_015_subj_32,0.909,0.932
231,phase_015_subj_33,0.899,0.568
232,phase_015_subj_34,0.494,0.49
233,phase_015_subj_35,-0.244,0.259
234,phase_015_subj_38,1.049,0.847
