"","Betweenness","Closeness","Strength","ExpectedInfluence"
"ability_IAT",117,0.000146869086965999,0.595655671893702,0.413497037076789
"moral_IAT",32,0.000142533181911256,0.411565313984084,0.290210526648478
"ability_ALT_rt_val",281,0.000145349675356937,0.899104008364373,0.807779520937913
"moral_ALT_rt_val",47,0.00012197332490142,0.848902118253349,0.833857475664531
"ability_ALT_rt_ref",316,0.000146362390733486,1.00270833209311,0.785418335593193
"moral_ALT_rt_ref",230,0.000127172334568253,1.00514369768917,0.861894813035366
"ability_SRET_EW",318,0.000196407929441734,1.27336493412127,0.940067017711538
"moral_SRET_EW",17,0.000185792662076572,0.571024888086386,0.532835365047599
"ability_ALT_d_val",29,0.000142009443494554,0.805088775293857,0.793841573405898
"moral_ALT_d_val",10,0.000122825746843143,0.799427564761886,0.773652901549741
"ability_ALT_d_ref",246,0.000143211847550076,0.926440066570348,0.779376019103631
"moral_ALT_d_ref",270,0.000128802424447806,0.936629946524857,0.788279193749445
"selfclarity_1",100,0.00016360169349559,0.967089519246943,0.86051545509391
"selfclarity_2",94,0.000158398623401302,1.19944666414408,1.05756235066014
"selfclarity_3",47,0.000171033068040913,0.725614070899313,0.414063661565665
"selfclarity_4",155,0.000186954132966547,1.16498060632294,1.16498060632294
"selfclarity_5",139,0.000184705737167105,0.998738352807802,0.922219657499508
"selfclarity_6",92,0.000172889630762084,0.943813073783874,0.852459637775298
"selfclarity_7",58,0.000173363913381081,0.770788006881697,0.685339881698051
"selfclarity_8",115,0.000163048746723631,1.17814499480591,1.03022314310021
"selfclarity_9",72,0.000157403909623067,1.11853164319457,0.837075210151589
"selfclarity_10",181,0.000183686128811883,1.03797996012083,0.569141283544983
"selfclarity_11",263,0.000184899563917761,1.12169533891235,1.05762041631852
"selfclarity_12",134,0.000178686230666427,1.16572069894698,1.1301506778849
"LOT_1",184,0.000195096027578664,0.866725238120249,0.831214303924032
"LOT_2",135,0.000180553472426214,0.873067876137915,0.743799885754577
"LOT_3",189,0.000194094120588512,1.10743854986458,1.09294200126807
"LOT_4",33,0.000172030277354233,0.900832021138923,0.742826112446622
"LOT_5",152,0.000178459840837904,1.09247632550608,1.09247632550608
"LOT_6",123,0.000196959654317606,0.797693124646791,0.592809843201151
"IPC_1",585,0.000228399376204128,1.53392935741354,0.763693729155759
"IPC_2",17,0.000209100557841914,0.672486247230153,0.483667956540091
"IPC_3",253,0.000214863002683918,1.06142315350942,1.0544068611112
"IPC_4",47,0.000184312906273061,0.567142906305518,0.480952060496709
"IPC_5",286,0.000210938270672961,1.12556063832483,1.06119078572724
"IPC_6",368,0.000214067540113532,1.08601475424376,1.06620511553768
"IPC_7",247,0.000207713694167163,1.15227240213073,1.00750846241003
"IPC_8",56,0.00019301347013895,0.861425423886752,0.73729045567728
"ses_1",194,0.000188594546111847,1.11851569133522,1.00753990751969
"ses_2",96,0.000185492244517375,0.916000945937509,0.915789740414217
"ses_3",37,0.000174403823725552,1.03144605074508,1.03144605074508
"ses_4",138,0.000184574693263246,0.917191248005571,0.900585923169158
"ses_5",158,0.00018076724714899,0.98588587964585,0.907358763029043
"ses_6",34,0.000181557005830494,1.0230183674402,1.0230183674402
"ses_7",124,0.000190609633507138,1.05464265900919,1.05464265900919
"ses_8",3,0.000148904472011133,0.608822309984412,0.500362916283452
"ses_9",179,0.000182231481010179,1.06071521808418,1.02695967923708
"ses_10",89,0.000177432540552341,0.974571050389357,0.936673100134837
"coreself_1",148,0.000193064367163616,1.14968137072339,1.14968137072339
"coreself_2",436,0.000202721443252752,1.2460248574376,0.714059749819608
"coreself_3",118,0.000193387034742906,1.21180002917869,0.631546090735137
"coreself_4",199,0.000200425232679225,1.1173735129279,1.03312625941673
"coreself_5",90,0.000189275012125896,0.947923518859774,0.885707078089573
"coreself_6",165,0.000193959443005229,1.22233016048438,1.17844814308349
"coreself_7",163,0.000189021503825489,1.26876213043325,1.1440736166718
"coreself_8",96,0.000191113671875609,1.19388932929654,1.02303393783
"coreself_9",150,0.000196180394410654,1.06027314859294,1.04463244786962
"coreself_10",74,0.000175548816004192,1.05307418517571,1.01420192188937
"NPI1",169,0.000173953196795682,0.900609763730661,0.667637115550327
"NPI2",70,0.000170989166598171,1.11865610374964,1.10160160508521
"NPI3",285,0.000182922991583761,1.17689165280139,1.05196729854
"NPI4",68,0.000169822357709239,0.993969755445672,0.906823993348077
"NPI5",296,0.000182074332974688,0.913501098040191,0.765306013832621
"NPI6",263,0.000184346788653591,0.890150011267055,0.308542489030191
"NPI7",232,0.000212512489722655,0.919197877067303,0.740978801633407
"NPI8",174,0.000173032128188831,0.728958769697155,0.728958769697155
"NPI9",117,0.000184493050128489,0.530505720932596,0.0783723635668721
"NPI10",91,0.000172016594073371,1.08888881994545,0.993931432674156
"NPI11",81,0.000175071748349988,0.963386136504542,0.90450137381721
"NPI12",0,0.000118946868449847,0.231104851287534,0.203320954657181
"NPI13",110,0.00017015742331844,0.604909023233065,0.56961502086566
"NPI14",20,0.000152172441101332,0.294414064030299,0.21791983493282
"NPI15",110,0.000178061538276064,1.00864957519642,0.910585942550651
"hsns_1",136,0.000192142006867909,0.918953960879371,0.857685462525038
"hsns_2",452,0.000209545963069993,1.10260037365213,-0.659900742622402
"hsns_3",22,0.000189605599284993,0.825657941188968,-0.372655651340533
"hsns_4",142,0.000195632334622494,0.725698668971065,-0.461707564400939
"hsns_5",201,0.000205943898438979,1.06262660992415,-0.434516295569507
"hsns_6",324,0.000194798855999498,0.846532385846523,0.0929206363612777
"hsns_7",86,0.000178394849810327,0.830845116197834,-0.198846431327838
"hsns_8",54,0.000182432441770021,0.783562137483999,-0.104479905590334
"hsns_9",129,0.000200484533284332,0.793305592666204,0.36310433204305
"hsns_10",314,0.000196953164047046,1.11904020388232,-0.486231309253748
"MorIden_1",753,0.000211690426287914,0.975417155637443,0.880008598251203
"MorIden_2",21,0.000174497481571261,0.933418354349011,0.765926168176265
"MorIden_3",349,0.000188844749601006,0.612943217400624,0.447769152815319
"MorIden_4",4,0.000156576597709353,0.665367430655732,0.465475074277474
