"","subj_idx","subj_name","selfclarity","score"
"1",558365014109454336,"王**","1",4
"2",558365014109454336,"王**","2",3
"3",558365014109454336,"王**","3",4
"4",558365014109454336,"王**","4",2
"5",558365014109454336,"王**","5",2
"6",558365014109454336,"王**","6",3
"7",558365014109454336,"王**","7",2
"8",558365014109454336,"王**","8",3
"9",558365014109454336,"王**","9",3
"10",558365014109454336,"王**","10",4
"11",558365014109454336,"王**","11",2
"12",558365014109454336,"王**","12",4
"13",568408786771902464,"王**","1",4
"14",568408786771902464,"王**","2",3
"15",568408786771902464,"王**","3",2
"16",568408786771902464,"王**","4",3
"17",568408786771902464,"王**","5",4
"18",568408786771902464,"王**","6",4
"19",568408786771902464,"王**","7",4
"20",568408786771902464,"王**","8",4
"21",568408786771902464,"王**","9",4
"22",568408786771902464,"王**","10",5
"23",568408786771902464,"王**","11",4
"24",568408786771902464,"王**","12",3
"25",576028339047759872,"刘**","1",3
"26",576028339047759872,"刘**","2",5
"27",576028339047759872,"刘**","3",4
"28",576028339047759872,"刘**","4",3
"29",576028339047759872,"刘**","5",4
"30",576028339047759872,"刘**","6",4
"31",576028339047759872,"刘**","7",4
"32",576028339047759872,"刘**","8",4
"33",576028339047759872,"刘**","9",4
"34",576028339047759872,"刘**","10",3
"35",576028339047759872,"刘**","11",4
"36",576028339047759872,"刘**","12",3
"37",587645312647036928,"陈**","1",5
"38",587645312647036928,"陈**","2",4
"39",587645312647036928,"陈**","3",5
"40",587645312647036928,"陈**","4",4
"41",587645312647036928,"陈**","5",5
"42",587645312647036928,"陈**","6",5
"43",587645312647036928,"陈**","7",4
"44",587645312647036928,"陈**","8",5
"45",587645312647036928,"陈**","9",4
"46",587645312647036928,"陈**","10",5
"47",587645312647036928,"陈**","11",5
"48",587645312647036928,"陈**","12",4
"49",588808772894326784,"闫*","1",4
"50",588808772894326784,"闫*","2",4
"51",588808772894326784,"闫*","3",4
"52",588808772894326784,"闫*","4",2
"53",588808772894326784,"闫*","5",5
"54",588808772894326784,"闫*","6",4
"55",588808772894326784,"闫*","7",5
"56",588808772894326784,"闫*","8",5
"57",588808772894326784,"闫*","9",5
"58",588808772894326784,"闫*","10",4
"59",588808772894326784,"闫*","11",5
"60",588808772894326784,"闫*","12",2
"61",590502391271391232,"邱**","1",5
"62",590502391271391232,"邱**","2",5
"63",590502391271391232,"邱**","3",5
"64",590502391271391232,"邱**","4",5
"65",590502391271391232,"邱**","5",5
"66",590502391271391232,"邱**","6",5
"67",590502391271391232,"邱**","7",5
"68",590502391271391232,"邱**","8",5
"69",590502391271391232,"邱**","9",5
"70",590502391271391232,"邱**","10",5
"71",590502391271391232,"邱**","11",5
"72",590502391271391232,"邱**","12",5
"73",595169798766198784,"陈**","1",5
"74",595169798766198784,"陈**","2",4
"75",595169798766198784,"陈**","3",5
"76",595169798766198784,"陈**","4",5
"77",595169798766198784,"陈**","5",4
"78",595169798766198784,"陈**","6",5
"79",595169798766198784,"陈**","7",5
"80",595169798766198784,"陈**","8",4
"81",595169798766198784,"陈**","9",5
"82",595169798766198784,"陈**","10",5
"83",595169798766198784,"陈**","11",5
"84",595169798766198784,"陈**","12",4
"85",602935616174292992,"王**","1",3
"86",602935616174292992,"王**","2",2
"87",602935616174292992,"王**","3",1
"88",602935616174292992,"王**","4",1
"89",602935616174292992,"王**","5",1
"90",602935616174292992,"王**","6",2
"91",602935616174292992,"王**","7",4
"92",602935616174292992,"王**","8",3
"93",602935616174292992,"王**","9",3
"94",602935616174292992,"王**","10",2
"95",602935616174292992,"王**","11",1
"96",602935616174292992,"王**","12",1
"97",613040465838604288,"郑**","1",4
"98",613040465838604288,"郑**","2",5
"99",613040465838604288,"郑**","3",3
"100",613040465838604288,"郑**","4",4
"101",613040465838604288,"郑**","5",3
"102",613040465838604288,"郑**","6",2
"103",613040465838604288,"郑**","7",2
"104",613040465838604288,"郑**","8",5
"105",613040465838604288,"郑**","9",5
"106",613040465838604288,"郑**","10",5
"107",613040465838604288,"郑**","11",4
"108",613040465838604288,"郑**","12",5
"109",628584680945352704,"刘**","1",5
"110",628584680945352704,"刘**","2",5
"111",628584680945352704,"刘**","3",3
"112",628584680945352704,"刘**","4",5
"113",628584680945352704,"刘**","5",5
"114",628584680945352704,"刘**","6",5
"115",628584680945352704,"刘**","7",3
"116",628584680945352704,"刘**","8",5
"117",628584680945352704,"刘**","9",5
"118",628584680945352704,"刘**","10",5
"119",628584680945352704,"刘**","11",5
"120",628584680945352704,"刘**","12",5
"121",635222761890906112,"陈**","1",4
"122",635222761890906112,"陈**","2",4
"123",635222761890906112,"陈**","3",3
"124",635222761890906112,"陈**","4",2
"125",635222761890906112,"陈**","5",4
"126",635222761890906112,"陈**","6",4
"127",635222761890906112,"陈**","7",4
"128",635222761890906112,"陈**","8",3
"129",635222761890906112,"陈**","9",4
"130",635222761890906112,"陈**","10",4
"131",635222761890906112,"陈**","11",4
"132",635222761890906112,"陈**","12",4
"133",650382190139408384,"布**","1",4
"134",650382190139408384,"布**","2",3
"135",650382190139408384,"布**","3",2
"136",650382190139408384,"布**","4",3
"137",650382190139408384,"布**","5",3
"138",650382190139408384,"布**","6",4
"139",650382190139408384,"布**","7",2
"140",650382190139408384,"布**","8",3
"141",650382190139408384,"布**","9",3
"142",650382190139408384,"布**","10",2
"143",650382190139408384,"布**","11",4
"144",650382190139408384,"布**","12",3
"145",656853379439394816,"俞**","1",5
"146",656853379439394816,"俞**","2",5
"147",656853379439394816,"俞**","3",4
"148",656853379439394816,"俞**","4",5
"149",656853379439394816,"俞**","5",4
"150",656853379439394816,"俞**","6",4
"151",656853379439394816,"俞**","7",4
"152",656853379439394816,"俞**","8",5
"153",656853379439394816,"俞**","9",5
"154",656853379439394816,"俞**","10",4
"155",656853379439394816,"俞**","11",5
"156",656853379439394816,"俞**","12",5
"157",675059027545161728,"郑**","1",4
"158",675059027545161728,"郑**","2",2
"159",675059027545161728,"郑**","3",4
"160",675059027545161728,"郑**","4",2
"161",675059027545161728,"郑**","5",4
"162",675059027545161728,"郑**","6",4
"163",675059027545161728,"郑**","7",5
"164",675059027545161728,"郑**","8",4
"165",675059027545161728,"郑**","9",4
"166",675059027545161728,"郑**","10",3
"167",675059027545161728,"郑**","11",4
"168",675059027545161728,"郑**","12",1
"169",678632291517333504,"范**","1",4
"170",678632291517333504,"范**","2",3
"171",678632291517333504,"范**","3",3
"172",678632291517333504,"范**","4",2
"173",678632291517333504,"范**","5",3
"174",678632291517333504,"范**","6",3
"175",678632291517333504,"范**","7",2
"176",678632291517333504,"范**","8",3
"177",678632291517333504,"范**","9",2
"178",678632291517333504,"范**","10",3
"179",678632291517333504,"范**","11",2
"180",678632291517333504,"范**","12",2
"181",682910925522468864,"刘**","1",3
"182",682910925522468864,"刘**","2",2
"183",682910925522468864,"刘**","3",3
"184",682910925522468864,"刘**","4",4
"185",682910925522468864,"刘**","5",3
"186",682910925522468864,"刘**","6",4
"187",682910925522468864,"刘**","7",3
"188",682910925522468864,"刘**","8",4
"189",682910925522468864,"刘**","9",3
"190",682910925522468864,"刘**","10",2
"191",682910925522468864,"刘**","11",3
"192",682910925522468864,"刘**","12",3
"193",685024029475602432,"于**","1",4
"194",685024029475602432,"于**","2",3
"195",685024029475602432,"于**","3",4
"196",685024029475602432,"于**","4",2
"197",685024029475602432,"于**","5",2
