"","subj_idx","ses","score"
"1",558365014109454336,"1",2
"2",558365014109454336,"2",2
"3",558365014109454336,"3",3
"4",558365014109454336,"4",2
"5",558365014109454336,"5",2
"6",558365014109454336,"6",2
"7",558365014109454336,"7",2
"8",558365014109454336,"8",2
"9",558365014109454336,"9",2
"10",558365014109454336,"10",2
"11",568408786771902464,"1",3
"12",568408786771902464,"2",3
"13",568408786771902464,"3",3
"14",568408786771902464,"4",3
"15",568408786771902464,"5",3
"16",568408786771902464,"6",4
"17",568408786771902464,"7",3
"18",568408786771902464,"8",3
"19",568408786771902464,"9",4
"20",568408786771902464,"10",3
"21",613040465838604288,"1",3
"22",613040465838604288,"2",4
"23",613040465838604288,"3",4
"24",613040465838604288,"4",3
"25",613040465838604288,"5",3
"26",613040465838604288,"6",3
"27",613040465838604288,"7",4
"28",613040465838604288,"8",3
"29",613040465838604288,"9",4
"30",613040465838604288,"10",4
"31",628584680945352704,"1",4
"32",628584680945352704,"2",3
"33",628584680945352704,"3",4
"34",628584680945352704,"4",4
"35",628584680945352704,"5",4
"36",628584680945352704,"6",4
"37",628584680945352704,"7",3
"38",628584680945352704,"8",4
"39",628584680945352704,"9",4
"40",628584680945352704,"10",4
"41",656853379439394816,"1",4
"42",656853379439394816,"2",4
"43",656853379439394816,"3",4
"44",656853379439394816,"4",4
"45",656853379439394816,"5",4
"46",656853379439394816,"6",4
"47",656853379439394816,"7",4
"48",656853379439394816,"8",4
"49",656853379439394816,"9",4
"50",656853379439394816,"10",4
"51",682910925522468864,"1",3
"52",682910925522468864,"2",2
"53",682910925522468864,"3",3
"54",682910925522468864,"4",3
"55",682910925522468864,"5",3
"56",682910925522468864,"6",3
"57",682910925522468864,"7",3
"58",682910925522468864,"8",3
"59",682910925522468864,"9",4
"60",682910925522468864,"10",4
"61",690857936225828864,"1",2
"62",690857936225828864,"2",2
"63",690857936225828864,"3",2
"64",690857936225828864,"4",2
"65",690857936225828864,"5",2
"66",690857936225828864,"6",2
"67",690857936225828864,"7",2
"68",690857936225828864,"8",2
"69",690857936225828864,"9",2
"70",690857936225828864,"10",2
"71",703157170715230208,"1",3
"72",703157170715230208,"2",3
"73",703157170715230208,"3",3
"74",703157170715230208,"4",3
"75",703157170715230208,"5",2
"76",703157170715230208,"6",3
"77",703157170715230208,"7",2
"78",703157170715230208,"8",2
"79",703157170715230208,"9",2
"80",703157170715230208,"10",2
"81",718754642447564800,"1",3
"82",718754642447564800,"2",3
"83",718754642447564800,"3",3
"84",718754642447564800,"4",3
"85",718754642447564800,"5",2
"86",718754642447564800,"6",3
"87",718754642447564800,"7",2
"88",718754642447564800,"8",3
"89",718754642447564800,"9",3
"90",718754642447564800,"10",3
"91",728341831389020160,"1",4
"92",728341831389020160,"2",4
"93",728341831389020160,"3",4
"94",728341831389020160,"4",4
"95",728341831389020160,"5",4
"96",728341831389020160,"6",4
"97",728341831389020160,"7",4
"98",728341831389020160,"8",4
"99",728341831389020160,"9",4
"100",728341831389020160,"10",4
"101",732226150302224384,"1",3
"102",732226150302224384,"2",3
"103",732226150302224384,"3",3
"104",732226150302224384,"4",3
"105",732226150302224384,"5",3
"106",732226150302224384,"6",3
"107",732226150302224384,"7",3
"108",732226150302224384,"8",3
"109",732226150302224384,"9",3
"110",732226150302224384,"10",4
"111",735606541780258816,"1",3
"112",735606541780258816,"2",3
"113",735606541780258816,"3",3
"114",735606541780258816,"4",4
"115",735606541780258816,"5",2
"116",735606541780258816,"6",3
"117",735606541780258816,"7",2
"118",735606541780258816,"8",2
"119",735606541780258816,"9",2
"120",735606541780258816,"10",2
"121",742402460798423040,"1",3
"122",742402460798423040,"2",3
"123",742402460798423040,"3",3
"124",742402460798423040,"4",3
"125",742402460798423040,"5",2
"126",742402460798423040,"6",3
"127",742402460798423040,"7",3
"128",742402460798423040,"8",3
"129",742402460798423040,"9",2
"130",742402460798423040,"10",3
"131",745398419547492352,"1",4
"132",745398419547492352,"2",3
"133",745398419547492352,"3",4
"134",745398419547492352,"4",3
"135",745398419547492352,"5",4
"136",745398419547492352,"6",3
"137",745398419547492352,"7",3
"138",745398419547492352,"8",4
"139",745398419547492352,"9",4
"140",745398419547492352,"10",4
"141",746397539082964992,"1",2
"142",746397539082964992,"2",3
"143",746397539082964992,"3",3
"144",746397539082964992,"4",2
"145",746397539082964992,"5",1
"146",746397539082964992,"6",2
"147",746397539082964992,"7",1
"148",746397539082964992,"8",2
"149",746397539082964992,"9",2
"150",746397539082964992,"10",3
"151",755507503227473920,"1",3
"152",755507503227473920,"2",3
"153",755507503227473920,"3",4
"154",755507503227473920,"4",3
"155",755507503227473920,"5",3
"156",755507503227473920,"6",3
"157",755507503227473920,"7",3
"158",755507503227473920,"8",2
"159",755507503227473920,"9",3
"160",755507503227473920,"10",3
"161",755771736343187456,"1",3
"162",755771736343187456,"2",3
"163",755771736343187456,"3",4
"164",755771736343187456,"4",3
"165",755771736343187456,"5",4
"166",755771736343187456,"6",3
"167",755771736343187456,"7",3
"168",755771736343187456,"8",4
"169",755771736343187456,"9",4
"170",755771736343187456,"10",4
