"","ParticipantID","task_id","screen_id","condition","word","response","responses","rt","correct","conditionType","con","ID"
"1",21,"ALT1_2","prac_ALT1_2","hexagon","hexagon","j","match","649","true","match","hexagon_match","phase_005_subj_1"
"2",21,"ALT1_2","prac_ALT1_2","hexagon","ellipse","f","nonmatch","713","true","nonmatch","hexagon_nonmatch","phase_005_subj_1"
"3",21,"ALT1_2","prac_ALT1_2","ellipse","square","f","nonmatch","592","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"4",21,"ALT1_2","prac_ALT1_2","hexagon","hexagon","j","match","494","true","match","hexagon_match","phase_005_subj_1"
"5",21,"ALT1_2","prac_ALT1_2","hexagon","hexagon","j","match","621","true","match","hexagon_match","phase_005_subj_1"
"6",21,"ALT1_2","prac_ALT1_2","square","ellipse","f","nonmatch","579","true","nonmatch","square_nonmatch","phase_005_subj_1"
"7",21,"ALT1_2","prac_ALT1_2","ellipse","trapezoid","f","nonmatch","693","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"8",21,"ALT1_2","prac_ALT1_2","trapezoid","trapezoid","j","match","683","true","match","trapezoid_match","phase_005_subj_1"
"9",21,"ALT1_2","prac_ALT1_2","trapezoid","square","f","nonmatch","688","true","nonmatch","trapezoid_nonmatch","phase_005_subj_1"
"10",21,"ALT1_2","prac_ALT1_2","hexagon","trapezoid","f","nonmatch","664","true","nonmatch","hexagon_nonmatch","phase_005_subj_1"
"11",21,"ALT1_2","prac_ALT1_2","ellipse","ellipse","j","match","668","true","match","ellipse_match","phase_005_subj_1"
"12",21,"ALT1_2","prac_ALT1_2","square","square","j","match","505","true","match","square_match","phase_005_subj_1"
"13",21,"ALT1_2","prac_ALT1_2","ellipse","hexagon","f","nonmatch","635","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"14",21,"ALT1_2","prac_ALT1_2","square","square","j","match","540","true","match","square_match","phase_005_subj_1"
"15",21,"ALT1_2","prac_ALT1_2","hexagon","square","f","nonmatch","810","true","nonmatch","hexagon_nonmatch","phase_005_subj_1"
"16",21,"ALT1_2","prac_ALT1_2","square","square","j","match","531","true","match","square_match","phase_005_subj_1"
"17",21,"ALT1_2","prac_ALT1_2","square","hexagon","f","nonmatch","645","true","nonmatch","square_nonmatch","phase_005_subj_1"
"18",21,"ALT1_2","prac_ALT1_2","trapezoid","trapezoid","j","match","733","true","match","trapezoid_match","phase_005_subj_1"
"19",21,"ALT1_2","prac_ALT1_2","trapezoid","hexagon","f","nonmatch","585","true","nonmatch","trapezoid_nonmatch","phase_005_subj_1"
"20",21,"ALT1_2","prac_ALT1_2","square","trapezoid","f","nonmatch","581","true","nonmatch","square_nonmatch","phase_005_subj_1"
"21",21,"ALT1_2","prac_ALT1_2","trapezoid","trapezoid","j","match","646","true","match","trapezoid_match","phase_005_subj_1"
"22",21,"ALT1_2","prac_ALT1_2","trapezoid","ellipse","f","nonmatch","595","true","nonmatch","trapezoid_nonmatch","phase_005_subj_1"
"23",21,"ALT1_2","prac_ALT1_2","ellipse","ellipse","j","match","572","true","match","ellipse_match","phase_005_subj_1"
"24",21,"ALT1_2","prac_ALT1_2","ellipse","ellipse","j","match","519","true","match","ellipse_match","phase_005_subj_1"
"25",21,"ALT1_2","prac_ALT1_2","square","ellipse","f","nonmatch","539","true","nonmatch","square_nonmatch","phase_005_subj_1"
"26",21,"ALT1_2","prac_ALT1_2","hexagon","square","f","nonmatch","497","true","nonmatch","hexagon_nonmatch","phase_005_subj_1"
"27",21,"ALT1_2","prac_ALT1_2","trapezoid","trapezoid","j","match","507","true","match","trapezoid_match","phase_005_subj_1"
"28",21,"ALT1_2","prac_ALT1_2","square","square","j","match","484","true","match","square_match","phase_005_subj_1"
"29",21,"ALT1_2","prac_ALT1_2","hexagon","hexagon","j","match","489","true","match","hexagon_match","phase_005_subj_1"
"30",21,"ALT1_2","prac_ALT1_2","hexagon","ellipse","f","nonmatch","583","true","nonmatch","hexagon_nonmatch","phase_005_subj_1"
"31",21,"ALT1_2","prac_ALT1_2","ellipse","ellipse","j","match","449","true","match","ellipse_match","phase_005_subj_1"
"32",21,"ALT1_2","prac_ALT1_2","ellipse","trapezoid","f","nonmatch","620","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"33",21,"ALT1_2","prac_ALT1_2","trapezoid","hexagon","j","match","530","false","nonmatch","trapezoid_nonmatch","phase_005_subj_1"
"34",21,"ALT1_2","prac_ALT1_2","ellipse","square","f","nonmatch","508","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"35",21,"ALT1_2","prac_ALT1_2","hexagon","hexagon","j","match","518","true","match","hexagon_match","phase_005_subj_1"
"36",21,"ALT1_2","prac_ALT1_2","trapezoid","trapezoid","f","nonmatch","499","false","match","trapezoid_match","phase_005_subj_1"
"37",21,"ALT1_2","prac_ALT1_2","ellipse","hexagon","f","nonmatch","597","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"38",21,"ALT1_2","prac_ALT1_2","square","trapezoid","f","nonmatch","708","true","nonmatch","square_nonmatch","phase_005_subj_1"
"39",21,"ALT1_2","prac_ALT1_2","hexagon","hexagon","j","match","589","true","match","hexagon_match","phase_005_subj_1"
"40",21,"ALT1_2","prac_ALT1_2","square","square","j","match","713","true","match","square_match","phase_005_subj_1"
"41",21,"ALT1_2","prac_ALT1_2","hexagon","trapezoid","j","match","553","false","nonmatch","hexagon_nonmatch","phase_005_subj_1"
"42",21,"ALT1_2","prac_ALT1_2","ellipse","ellipse","j","match","523","true","match","ellipse_match","phase_005_subj_1"
"43",21,"ALT1_2","prac_ALT1_2","square","hexagon","f","nonmatch","621","true","nonmatch","square_nonmatch","phase_005_subj_1"
"44",21,"ALT1_2","prac_ALT1_2","trapezoid","square","j","match","546","false","nonmatch","trapezoid_nonmatch","phase_005_subj_1"
"45",21,"ALT1_2","prac_ALT1_2","square","square","j","match","577","true","match","square_match","phase_005_subj_1"
"46",21,"ALT1_2","prac_ALT1_2","ellipse","ellipse","j","match","590","true","match","ellipse_match","phase_005_subj_1"
"47",21,"ALT1_2","prac_ALT1_2","trapezoid","trapezoid","j","match","659","true","match","trapezoid_match","phase_005_subj_1"
"48",21,"ALT1_2","prac_ALT1_2","trapezoid","ellipse","f","nonmatch","514","true","nonmatch","trapezoid_nonmatch","phase_005_subj_1"
"49",21,"ALT1","formal_ALT1_2","square","ellipse","f","nonmatch","634","true","nonmatch","square_nonmatch","phase_005_subj_1"
"50",21,"ALT1","formal_ALT1_2","hexagon","ellipse","f","nonmatch","585","true","nonmatch","hexagon_nonmatch","phase_005_subj_1"
"51",21,"ALT1","formal_ALT1_2","hexagon","hexagon","j","match","511","true","match","hexagon_match","phase_005_subj_1"
"52",21,"ALT1","formal_ALT1_2","trapezoid","hexagon","f","nonmatch","705","true","nonmatch","trapezoid_nonmatch","phase_005_subj_1"
"53",21,"ALT1","formal_ALT1_2","hexagon","trapezoid","f","nonmatch","804","true","nonmatch","hexagon_nonmatch","phase_005_subj_1"
"54",21,"ALT1","formal_ALT1_2","ellipse","ellipse","j","match","511","true","match","ellipse_match","phase_005_subj_1"
"55",21,"ALT1","formal_ALT1_2","hexagon","square","f","nonmatch","638","true","nonmatch","hexagon_nonmatch","phase_005_subj_1"
"56",21,"ALT1","formal_ALT1_2","trapezoid","trapezoid","j","match","608","true","match","trapezoid_match","phase_005_subj_1"
"57",21,"ALT1","formal_ALT1_2","ellipse","ellipse","j","match","580","true","match","ellipse_match","phase_005_subj_1"
"58",21,"ALT1","formal_ALT1_2","square","hexagon","f","nonmatch","651","true","nonmatch","square_nonmatch","phase_005_subj_1"
"59",21,"ALT1","formal_ALT1_2","hexagon","hexagon","j","match","751","true","match","hexagon_match","phase_005_subj_1"
"60",21,"ALT1","formal_ALT1_2","hexagon","hexagon","j","match","634","true","match","hexagon_match","phase_005_subj_1"
"61",21,"ALT1","formal_ALT1_2","ellipse","trapezoid","f","nonmatch","584","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"62",21,"ALT1","formal_ALT1_2","ellipse","square","f","nonmatch","818","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"63",21,"ALT1","formal_ALT1_2","ellipse","hexagon","f","nonmatch","601","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"64",21,"ALT1","formal_ALT1_2","trapezoid","trapezoid","j","match","526","true","match","trapezoid_match","phase_005_subj_1"
"65",21,"ALT1","formal_ALT1_2","square","trapezoid","f","nonmatch","645","true","nonmatch","square_nonmatch","phase_005_subj_1"
"66",21,"ALT1","formal_ALT1_2","ellipse","ellipse","j","match","556","true","match","ellipse_match","phase_005_subj_1"
"67",21,"ALT1","formal_ALT1_2","square","square","j","match","541","true","match","square_match","phase_005_subj_1"
"68",21,"ALT1","formal_ALT1_2","trapezoid","ellipse","f","nonmatch","526","true","nonmatch","trapezoid_nonmatch","phase_005_subj_1"
"69",21,"ALT1","formal_ALT1_2","square","square","j","match","454","true","match","square_match","phase_005_subj_1"
"70",21,"ALT1","formal_ALT1_2","square","square","j","match","445","true","match","square_match","phase_005_subj_1"
"71",21,"ALT1","formal_ALT1_2","trapezoid","trapezoid","j","match","530","true","match","trapezoid_match","phase_005_subj_1"
"72",21,"ALT1","formal_ALT1_2","trapezoid","square","f","nonmatch","501","true","nonmatch","trapezoid_nonmatch","phase_005_subj_1"
"73",21,"ALT1","formal_ALT1_2","hexagon","hexagon","j","match","446","true","match","hexagon_match","phase_005_subj_1"
"74",21,"ALT1","formal_ALT1_2","ellipse","ellipse","j","match","555","true","match","ellipse_match","phase_005_subj_1"
"75",21,"ALT1","formal_ALT1_2","ellipse","square","f","nonmatch","585","true","nonmatch","ellipse_nonmatch","phase_005_subj_1"
"76",21,"ALT1","formal_ALT1_2","square","hexagon","f","nonmatch","611","true","nonmatch","square_nonmatch","phase_005_subj_1"
