"","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","ID"
"1",21,3,3,4,3,4,3,3,4,4,4,4,5,4,3,4,4,4,4,4,5,1,1,1,1,2,1,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,3,4,4,2,2,"杨","phase_005_subj_1"
"2",577,3,4,3,3,4,4,3,3,4,4,4,4,5,4,4,5,4,5,4,4,2,1,2,2,3,2,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,2,1,2,1,4,5,1,2,"林","phase_005_subj_14"
"3",566,4,3,4,3,3,4,3,1,4,4,4,4,5,4,4,5,4,5,4,4,4,5,4,4,1,3,4,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,2,4,1,4,2,4,5,5,4,"赵","phase_005_subj_13"
"4",698,3,4,4,3,2,4,3,3,4,4,5,4,5,4,4,4,5,4,4,5,1,1,1,2,2,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,2,1,2,1,3,2,5,1,2,"宋","phase_005_subj_20"
"5",266,3,4,4,3,3,4,3,3,4,4,5,4,5,4,4,4,5,4,4,5,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,5,1,5,2,2,4,4,5,1,1,"陈","phase_005_subj_7"
"6",208,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,3,4,4,3,4,3,4,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,3,3,4,3,3,3,4,2,"郭","phase_005_subj_6"
"7",695,4,3,4,4,3,4,4,4,4,4,5,5,5,4,5,4,5,4,5,5,1,2,1,2,1,2,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,5,1,3,1,1,2,4,3,3,1,"王","phase_005_subj_19"
"8",448,3,3,3,3,3,3,3,2,3,3,4,3,2,3,3,4,3,3,3,3,2,2,2,3,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,4,2,4,2,"nyf","phase_005_subj_10"
"9",150,3,4,4,4,3,4,4,3,3,4,4,3,3,4,3,4,3,3,4,4,2,2,2,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,3,3,4,4,3,1,"刘","phase_005_subj_4"
"10",271,3,2,3,3,2,3,3,4,4,4,4,4,3,4,3,4,3,3,3,5,2,2,3,2,4,2,3,3,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,3,2,3,4,2,3,4,2,2,"罗","phase_005_subj_8"
"11",192,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,3,4,4,4,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,4,4,2,2,4,2,2,"杨","phase_005_subj_3"
"12",411,3,4,4,4,3,4,3,3,4,4,5,4,5,5,4,4,5,4,5,4,4,5,4,3,5,5,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,4,1,2,3,3,4,2,3,"孙","phase_005_subj_9"
"13",533,3,3,3,3,3,3,3,4,3,3,4,2,3,4,3,4,4,3,4,4,1,1,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,1,3,3,4,4,3,1,"张","phase_005_subj_12"
"14",649,4,3,4,3,3,4,3,3,4,4,5,4,2,4,3,5,4,3,4,5,4,3,4,3,4,4,3,4,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,2,4,1,2,2,2,4,1,3,"王","phase_005_subj_16"
"15",48,4,4,3,3,4,3,3,3,3,4,4,3,3,4,3,4,3,3,4,4,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,3,3,4,4,3,2,"陈","phase_005_subj_2"
"16",171,3,3,4,3,3,3,3,4,4,4,4,4,4,4,5,4,5,4,4,5,2,2,2,2,2,2,1,4,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,1,1,1,4,1,2,1,1,1,"刘","phase_005_subj_5"
"17",666,3,3,3,3,3,3,4,2,2,3,4,3,2,4,3,4,3,3,4,4,3,3,4,4,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,4,3,4,3,2,3,"任","phase_005_subj_17"
"18",668,3,3,4,3,3,4,4,3,3,4,4,4,4,4,5,5,4,3,4,5,2,3,1,2,2,2,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,2,1,1,2,2,1,1,2,"李","phase_005_subj_18"
