"","ParticipantID","Sex","task_id","screen_id","person","valence","domain","word","math","correct_response","identity","response","responses","rt","correct","con","ID"
"1",21,"Female","SRET_EW","EW_instructions","","","","","","","","0","","7067","","__","phase_005_subj_1"
"2",21,"Female","SRET_EW","EW_practice","friend","Negative","morality","徇私","","","","j","yes","1600","","friend_Negative_morality","phase_005_subj_1"
"3",21,"Female","SRET_EW","EW_practice","friend","Positive","morality","忠实","","","","j","yes","963","","friend_Positive_morality","phase_005_subj_1"
"4",21,"Female","SRET_EW","EW_practice","self","Positive","ability","严谨","","","","j","yes","1984","","self_Positive_ability","phase_005_subj_1"
"5",21,"Female","SRET_EW","EW_practice","self","Negative","ability","刻板","","","","f","no","1427","","self_Negative_ability","phase_005_subj_1"
"6",21,"Female","SRET_EW","prac_instructions","","","","","","","","0","","6966","","__","phase_005_subj_1"
"7",21,"Female","SRET","EW_formal","self","Positive","morality","坚贞","","","","j","yes","688","","self_Positive_morality","phase_005_subj_1"
"8",21,"Female","SRET","EW_formal","self","Negative","morality","说谎","","","","f","no","650","","self_Negative_morality","phase_005_subj_1"
"9",21,"Female","SRET","EW_formal","friend","Positive","ability","务实","","","","j","yes","477","","friend_Positive_ability","phase_005_subj_1"
"10",21,"Female","SRET","EW_formal","friend","Negative","ability","迷糊","","","","f","no","580","","friend_Negative_ability","phase_005_subj_1"
"11",21,"Female","SRET","EW_formal","self","Negative","morality","不孝","","","","f","no","995","","self_Negative_morality","phase_005_subj_1"
"12",21,"Female","SRET","EW_formal","self","Negative","morality","邪恶","","","","f","no","515","","self_Negative_morality","phase_005_subj_1"
"13",21,"Female","SRET","EW_formal","self","Negative","morality","奸诈","","","","f","no","825","","self_Negative_morality","phase_005_subj_1"
"14",21,"Female","SRET","EW_formal","self","Positive","ability","思辨","","","","j","yes","653","","self_Positive_ability","phase_005_subj_1"
"15",21,"Female","SRET","EW_formal","self","Positive","morality","正气","","","","j","yes","916","","self_Positive_morality","phase_005_subj_1"
"16",21,"Female","SRET","EW_formal","self","Negative","ability","驽钝","","","","f","no","721","","self_Negative_ability","phase_005_subj_1"
"17",21,"Female","SRET","EW_formal","friend","Negative","morality","狡狯","","","","f","no","868","","friend_Negative_morality","phase_005_subj_1"
"18",21,"Female","SRET","EW_formal","self","Positive","ability","专注","","","","j","yes","584","","self_Positive_ability","phase_005_subj_1"
"19",21,"Female","SRET","EW_formal","friend","Positive","ability","自律","","","","j","yes","995","","friend_Positive_ability","phase_005_subj_1"
"20",21,"Female","SRET","EW_formal","self","Negative","ability","盲目","","","","f","no","689","","self_Negative_ability","phase_005_subj_1"
"21",21,"Female","SRET","EW_formal","friend","Negative","ability","短视","","","","f","no","594","","friend_Negative_ability","phase_005_subj_1"
"22",21,"Female","SRET","EW_formal","self","Negative","ability","无为","","","","f","no","633","","self_Negative_ability","phase_005_subj_1"
"23",21,"Female","SRET","EW_formal","friend","Positive","ability","博识","","","","j","yes","579","","friend_Positive_ability","phase_005_subj_1"
"24",21,"Female","SRET","EW_formal","friend","Positive","ability","扎实","","","","j","yes","546","","friend_Positive_ability","phase_005_subj_1"
"25",21,"Female","SRET","EW_formal","self","Negative","morality","偏私","","","","f","no","510","","self_Negative_morality","phase_005_subj_1"
"26",21,"Female","SRET","EW_formal","friend","Positive","ability","有力","","","","j","yes","660","","friend_Positive_ability","phase_005_subj_1"
"27",21,"Female","SRET","EW_formal","friend","Negative","morality","诡诈","","","","f","no","563","","friend_Negative_morality","phase_005_subj_1"
"28",21,"Female","SRET","EW_formal","self","Negative","morality","黑心","","","","f","no","508","","self_Negative_morality","phase_005_subj_1"
"29",21,"Female","SRET","EW_formal","friend","Positive","ability","细心","","","","j","yes","1678","","friend_Positive_ability","phase_005_subj_1"
"30",21,"Female","SRET","EW_formal","friend","Negative","morality","拜金","","","","f","no","720","","friend_Negative_morality","phase_005_subj_1"
"31",21,"Female","SRET","EW_formal","friend","Positive","morality","清廉","","","","j","yes","639","","friend_Positive_morality","phase_005_subj_1"
"32",21,"Female","SRET","EW_formal","friend","Positive","morality","谦逊","","","","j","yes","869","","friend_Positive_morality","phase_005_subj_1"
"33",21,"Female","SRET","EW_formal","friend","Negative","ability","逞强","","","","f","no","917","","friend_Negative_ability","phase_005_subj_1"
"34",21,"Female","SRET","EW_formal","friend","Positive","morality","文明","","","","j","yes","528","","friend_Positive_morality","phase_005_subj_1"
"35",21,"Female","SRET","EW_formal","friend","Positive","ability","周到","","","","j","yes","585","","friend_Positive_ability","phase_005_subj_1"
"36",21,"Female","SRET","EW_formal","friend","Negative","ability","毛糙","","","","f","no","634","","friend_Negative_ability","phase_005_subj_1"
"37",21,"Female","SRET","EW_formal","friend","Negative","ability","草率","","","","f","no","664","","friend_Negative_ability","phase_005_subj_1"
"38",21,"Female","SRET","EW_formal","friend","Positive","ability","勤奋","","","","j","yes","722","","friend_Positive_ability","phase_005_subj_1"
"39",21,"Female","SRET","EW_formal","friend","Negative","morality","伪善","","","","f","no","668","","friend_Negative_morality","phase_005_subj_1"
"40",21,"Female","SRET","EW_formal","self","Positive","morality","热心","","","","j","yes","631","","self_Positive_morality","phase_005_subj_1"
"41",21,"Female","SRET","EW_formal","self","Positive","morality","厚道","","","","j","yes","602","","self_Positive_morality","phase_005_subj_1"
"42",21,"Female","SRET","EW_formal","self","Negative","ability","拖拉","","","","f","no","620","","self_Negative_ability","phase_005_subj_1"
"43",21,"Female","SRET","EW_formal","friend","Positive","ability","沉着","","","","j","yes","863","","friend_Positive_ability","phase_005_subj_1"
"44",21,"Female","SRET","EW_formal","friend","Negative","ability","庸碌","","","","f","no","687","","friend_Negative_ability","phase_005_subj_1"
"45",21,"Female","SRET","EW_formal","friend","Positive","morality","仁爱","","","","j","yes","592","","friend_Positive_morality","phase_005_subj_1"
"46",21,"Female","SRET","EW_formal","friend","Negative","ability","屈才","","","","f","no","850","","friend_Negative_ability","phase_005_subj_1"
"47",21,"Female","SRET","EW_formal","self","Negative","ability","废物","","","","f","no","585","","self_Negative_ability","phase_005_subj_1"
"48",21,"Female","SRET","EW_formal","friend","Negative","morality","恶劣","","","","f","no","557","","friend_Negative_morality","phase_005_subj_1"
"49",21,"Female","SRET","EW_formal","self","Positive","morality","爱国","","","","j","yes","622","","self_Positive_morality","phase_005_subj_1"
"50",21,"Female","SRET","EW_formal","self","Negative","morality","失信","","","","f","no","579","","self_Negative_morality","phase_005_subj_1"
"51",21,"Female","SRET","EW_formal","friend","Positive","morality","淡泊","","","","j","yes","704","","friend_Positive_morality","phase_005_subj_1"
"52",21,"Female","SRET","EW_formal","friend","Positive","ability","中用","","","","j","yes","796","","friend_Positive_ability","phase_005_subj_1"
"53",21,"Female","SRET","EW_formal","self","Positive","ability","利落","","","","j","yes","508","","self_Positive_ability","phase_005_subj_1"
"54",21,"Female","SRET","EW_formal","friend","Positive","morality","忠义","","","","j","yes","632","","friend_Positive_morality","phase_005_subj_1"
"55",21,"Female","SRET","EW_formal","self","Positive","ability","娴熟","","","","j","yes","850","","self_Positive_ability","phase_005_subj_1"
"56",21,"Female","SRET","EW_formal","self","Negative","ability","粗心","","","","f","no","629","","self_Negative_ability","phase_005_subj_1"
"57",21,"Female","SRET","EW_formal","friend","Positive","morality","廉正","","","","j","yes","580","","friend_Positive_morality","phase_005_subj_1"
"58",21,"Female","SRET","EW_formal","self","Positive","ability","学霸","","","","j","yes","662","","self_Positive_ability","phase_005_subj_1"
