"X","ParticipantID","Sex","task_id","screen_id","person","valence","domain","word","math","correct_response","identity","response","responses","rt","correct","con","ID"
1,111,"Male","SRET_EW","EW_instructions","","","","","",NA,"","0","","7269",NA,"__","phase_020_subj_2"
2,111,"Male","SRET_EW","EW_practice","friend","Negative","morality","徇私","",NA,"","j","yes","1779",NA,"friend_Negative_morality","phase_020_subj_2"
3,111,"Male","SRET_EW","EW_practice","self","Negative","ability","刻板","",NA,"","j","yes","1055",NA,"self_Negative_ability","phase_020_subj_2"
4,111,"Male","SRET_EW","EW_practice","self","Positive","ability","严谨","",NA,"","j","yes","792",NA,"self_Positive_ability","phase_020_subj_2"
5,111,"Male","SRET_EW","EW_practice","friend","Positive","morality","忠实","",NA,"","j","yes","947",NA,"friend_Positive_morality","phase_020_subj_2"
6,111,"Male","SRET_EW","prac_instructions","","","","","",NA,"","0","","4488",NA,"__","phase_020_subj_2"
7,111,"Male","SRET","EW_formal","friend","Positive","ability","务实","",NA,"","j","yes","866",NA,"friend_Positive_ability","phase_020_subj_2"
8,111,"Male","SRET","EW_formal","friend","Negative","ability","迷糊","",NA,"","f","no","1168",NA,"friend_Negative_ability","phase_020_subj_2"
9,111,"Male","SRET","EW_formal","self","Negative","morality","说谎","",NA,"","j","yes","1776",NA,"self_Negative_morality","phase_020_subj_2"
10,111,"Male","SRET","EW_formal","self","Positive","morality","坚贞","",NA,"","j","yes","1399",NA,"self_Positive_morality","phase_020_subj_2"
11,111,"Male","SRET","EW_formal","self","Positive","ability","远见","",NA,"","j","yes","1960",NA,"self_Positive_ability","phase_020_subj_2"
12,111,"Male","SRET","EW_formal","friend","Negative","ability","怠惰","",NA,"","f","no","1353",NA,"friend_Negative_ability","phase_020_subj_2"
13,111,"Male","SRET","EW_formal","self","Positive","ability","顶事","",NA,"","j","yes","1010",NA,"self_Positive_ability","phase_020_subj_2"
14,111,"Male","SRET","EW_formal","friend","Positive","morality","高洁","",NA,"","f","no","1186",NA,"friend_Positive_morality","phase_020_subj_2"
15,111,"Male","SRET","EW_formal","friend","Negative","morality","自私","",NA,"","j","yes","1491",NA,"friend_Negative_morality","phase_020_subj_2"
16,111,"Male","SRET","EW_formal","self","Positive","morality","清廉","",NA,"","null","","null",NA,"self_Positive_morality","phase_020_subj_2"
17,111,"Male","SRET","EW_formal","friend","Positive","ability","变通","",NA,"","f","no","1415",NA,"friend_Positive_ability","phase_020_subj_2"
18,111,"Male","SRET","EW_formal","self","Negative","morality","诡诈","",NA,"","f","no","1951",NA,"self_Negative_morality","phase_020_subj_2"
19,111,"Male","SRET","EW_formal","friend","Positive","ability","果决","",NA,"","j","yes","1385",NA,"friend_Positive_ability","phase_020_subj_2"
20,111,"Male","SRET","EW_formal","self","Negative","morality","利己","",NA,"","j","yes","1480",NA,"self_Negative_morality","phase_020_subj_2"
21,111,"Male","SRET","EW_formal","friend","Negative","ability","犹豫","",NA,"","f","no","1517",NA,"friend_Negative_ability","phase_020_subj_2"
22,111,"Male","SRET","EW_formal","self","Negative","ability","庸碌","",NA,"","j","yes","1179",NA,"self_Negative_ability","phase_020_subj_2"
23,111,"Male","SRET","EW_formal","self","Positive","ability","全才","",NA,"","j","yes","733",NA,"self_Positive_ability","phase_020_subj_2"
24,111,"Male","SRET","EW_formal","self","Positive","morality","守法","",NA,"","j","yes","1006",NA,"self_Positive_morality","phase_020_subj_2"
25,111,"Male","SRET","EW_formal","friend","Negative","ability","拖延","",NA,"","f","no","1165",NA,"friend_Negative_ability","phase_020_subj_2"
26,111,"Male","SRET","EW_formal","self","Positive","ability","独立","",NA,"","f","no","1627",NA,"self_Positive_ability","phase_020_subj_2"
27,111,"Male","SRET","EW_formal","friend","Positive","morality","爱国","",NA,"","j","yes","1475",NA,"friend_Positive_morality","phase_020_subj_2"
