USERID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,浏览器,操作系统,屏幕宽度,审批状态,是否一次性作答完成,
	686480127940362240,	766203041925042178,清秋,	2023-10-16 11:49:11.0,1小时52秒,WEB,直接访问,39.85.17.7,Chrome,Linux,400*750,手动采纳,否,
	590543915338170368,	766212284438810625,一齐开心,	2023-10-16 09:32:26.0,1小时18分22秒,WEB,直接访问,42.81.132.188,Chrome,Win,1707*786,手动采纳,是,
	595245798992642048,	766262768725921793,棕咖啡,	2023-10-16 12:53:33.0,1小时18分52秒,WEB,直接访问,113.119.172.226,Chrome,Win,1422*646,手动采纳,是,
	590521239097835520,	766296322755141633,weiweio,	2023-10-16 15:03:10.0,1小时15分9秒,WEB,直接访问,124.236.97.162,Chrome,Win,1707*786,手动采纳,是,
	633791437602816000,	766313961007226881,YU星,	2023-10-16 16:38:58.0,1小时40分52秒,WEB,直接访问,219.152.93.71,Edge,Mac,1369*684,手动采纳,是,
	672546881741520896,	766388363682123778,WOSHIDABENDAN,	2023-10-16 20:41:22.0,47分36秒,WEB,直接访问,223.10.236.233,Chrome,Win,1322*642,手动采纳,是,
	612329083165999104,	766394958826577922,NIME,	2023-10-16 21:21:09.0,1小时1分12秒,WEB,直接访问,222.186.57.63,Firefox,Win,1280*577,手动采纳,是,
	587598071420944384,	766398156933173250,rys,	2023-10-16 21:25:02.0,51分15秒,WEB,直接访问,183.187.112.110,Edge,Win,1488*742,手动采纳,否,
	598944297026322432,	766402756939616258,等你的春天,	2023-10-16 21:43:57.0,53分,WEB,直接访问,36.98.171.206,Chrome,Win,1517*686,手动采纳,是,
	644508738497019904,	766417835386998785,吃个小猫,	2023-10-16 22:42:23.0,51分32秒,WEB,直接访问,39.144.219.58,Edge,Win,1347*678,手动采纳,是,
	598888935887732736,	766443745502826498,向前冲,	2023-10-17 00:23:43.0,49分53秒,WEB,直接访问,36.98.171.206,Chrome,Win,1517*686,手动采纳,是,
	754335804045922305,	766617412530479106,用户33645,	2023-10-17 12:08:49.0,1小时4分54秒,WEB,直接访问,39.187.85.147,Chrome,Win,1488*714,手动采纳,是,
	729263916630413313,	766640322435489793,027号,	2023-10-17 13:21:47.0,46分51秒,WEB,直接访问,42.49.109.65,Chrome,Win,1488*720,手动采纳,是,
