USERID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,浏览器,操作系统,屏幕宽度,审批状态,是否一次性作答完成,
	598888935887732736,	765973496277901313,向前冲,	2023-10-15 16:30:53.0,5分40秒,WEB,直接访问,36.98.171.206,Chrome,Win,1517*686,手动采纳,是,
	729263916630413313,	765973671390220290,027号,	2023-10-15 16:30:51.0,4分56秒,WEB,直接访问,42.49.109.65,Chrome,Win,1353*654,手动采纳,是,
	754335804045922305,	765973720572502018,用户33645,	2023-10-15 16:29:43.0,3分37秒,WEB,直接访问,39.187.85.89,Chrome,Win,1488*714,手动采纳,是,
	595245798992642048,	765973764365230081,棕咖啡,	2023-10-15 16:38:45.0,12分28秒,WEB,直接访问,115.230.127.189,Chrome,Win,1422*646,手动采纳,是,
	644508738497019904,	765973963359789057,吃个小猫,	2023-10-15 16:35:07.0,8分2秒,WEB,直接访问,39.144.218.7,Edge,Win,1347*678,手动采纳,是,
	686480127940362240,	765974280285593601,清秋,	2023-10-15 16:36:46.0,8分25秒,WEB,直接访问,223.104.195.193,Chrome,Win,1396*816,手动采纳,是,
	587598071420944384,	765974444874403841,rys,	2023-10-15 16:52:31.0,4分19秒,WEB,直接访问,183.187.112.110,Edge,Win,1488*742,手动采纳,否,
	590543915338170368,	765974503619825665,一齐开心,	2023-10-15 16:35:52.0,6分39秒,WEB,直接访问,42.81.132.188,Chrome,Win,1920*931,手动采纳,是,
	633791437602816000,	765974607625981954,YU星,	2023-10-15 16:43:31.0,13分53秒,WEB,直接访问,36.138.37.36,Edge,Win,1369*684,手动采纳,是,
	590521239097835520,	765974688072605697,weiweio,	2023-10-15 16:38:45.0,8分47秒,WEB,直接访问,124.236.97.162,Firefox,Win,1920*927,手动采纳,是,
	598944297026322432,	765975037374369794,等你的春天,	2023-10-15 16:38:17.0,6分57秒,WEB,直接访问,36.98.171.206,Chrome,Win,1600*734,手动采纳,是,
	672546881741520896,	765977037507796994,WOSHIDABENDAN,	2023-10-15 16:43:49.0,4分31秒,WEB,直接访问,223.10.236.233,Chrome,Win,1366*642,手动采纳,是,
	612329083165999104,	765978711186214913,NIME,	2023-10-15 16:52:53.0,6分57秒,WEB,直接访问,36.134.65.16,Edge,Mac,1364*684,手动采纳,是,
	745621977787797506,	766188964464959489,进思,	2023-10-16 06:45:00.0,3分35秒,WEB,直接访问,124.228.150.215,Chrome,Win,1280*649,手动采纳,是,
	757893027665809410,	766189771918811138,用户34188,	2023-10-16 08:29:36.0,7分48秒,WEB,直接访问,182.39.87.234,Chrome,Linux,400*794,手动采纳,否,
